Time, X, Y, Z, Rotation, isSick
8,9.970769,0.4255164,3.52508,0,0
8.5,10.01609,0.1417254,3.378984,0,0
9,10.01609,0.1417254,3.378984,0,0
9.5,10.01609,0.1417254,3.378984,0,0
10,10.91247,0.3788878,4.508054,0,0
10.5,11.96775,0.7310821,5.576422,0,0
11,12.78439,1.156209,6.885325,0,0
11.5,13.13934,1.342684,7.38416,0,0
12,13.13934,1.342684,7.38416,0,0
12.5,13.13934,1.342684,7.38416,0,0
13,13.13934,1.342684,7.38416,0,0
13.5,13.15676,1.467573,7.412068,0,0
14,13.4514,1.358897,7.043299,0,0
14.5,13.7335,1.162843,6.347218,0,0
15,13.7335,1.162843,6.347218,0,0
15.5,13.7335,1.162843,6.347218,0,0
16,13.7335,1.162843,6.347218,0,0
16.5,13.7335,1.162843,6.347218,0,0
17,13.7335,1.162843,6.347218,0,0
17.5,13.7335,1.162843,6.347218,0,0
18,13.7335,1.162843,6.347218,0,0
18.5,13.7335,1.162843,6.347218,0,0
19,12.5494,1.039788,6.591938,0,0
19.5,11.97045,1.240241,7.722862,0,0
20,11.51796,1.282246,8.350006,0,0
20.5,11.63737,1.534497,9.468249,5.357809,0
21,11.71897,1.835821,10.94976,5.357809,0
21.5,11.38641,1.947198,12.3442,5.357809,0
22,10.6455,1.835985,13.65089,5.357809,0
22.5,10.40043,1.799701,15.13123,5.357809,0
23,10.10376,1.685609,16.60366,5.357809,0
23.5,9.445564,1.416422,17.95394,5.357809,0
24,9.631611,1.348708,19.33249,5.357809,0
24.5,9.546,1.192716,20.81938,5.357809,0
25,9.512532,1.010292,22.32174,5.357809,0
25.5,9.501958,0.833614,23.82676,5.357809,0
26,10.40231,0.8898606,24.93056,5.357809,0
26.5,11.85214,1.198629,25.16509,5.357809,0
27,13.05974,1.403639,25.69917,5.357809,0
27.5,13.4318,1.316343,27.15434,5.357809,0
28,13.55464,1.249722,28.60894,5.357809,0
28.5,13.57515,1.225729,30.11122,5.357809,0
29,13.6438,1.217753,31.61039,5.357809,0
29.5,13.46984,1.240089,33.10281,5.357809,0
30,13.4841,1.340111,34.58134,5.357809,0
30.5,13.43023,1.414324,36.08179,5.357809,0
31,13.78123,1.660743,37.52242,5.357809,0
31.5,13.99858,1.848299,38.9725,5.357809,0
32,14.22714,2.113463,40.31184,5.357809,0
32.5,15.65319,2.985759,40.65779,5.357809,0
33,16.37036,3.470617,41.79024,5.357809,0
33.5,16.91485,3.919362,43.17647,5.357809,0
34,16.79291,4.108568,44.48676,350.5987,0
34.5,17.74503,4.567275,45.49567,4.024096,0
35,17.06796,4.501177,46.77987,4.024096,0
35.5,16.85014,4.612321,48.2366,4.024096,0
36,17.74425,4.812703,48.06525,33.51565,0
36.5,18.5308,5.029088,49.21029,33.51565,0
37,19.03092,5.046702,48.76398,41.84576,0
37.5,19.27457,5.144172,49.778,41.84576,0
38,20.55403,5.256305,50.08049,41.84576,0
38.5,20.69366,5.239535,48.93074,41.84576,0
