Time, X, Y, Z, Rotation, isSick
8.5,9.92779,0.448,3.568376,0,0
9,9.92779,0.448,3.568376,0,0
9.5,10.09179,0.2882174,3.179577,0,0
10,10.21652,0.08055675,2.81421,0,0
10.5,10.4615,0.06399369,2.306779,0,0
11,10.54601,0.04795563,2.070955,0,0
11.5,10.54601,0.04795563,2.070955,0,0
12,10.54601,0.04795563,2.070955,0,0
12.5,10.54601,0.04795563,2.070955,0,0
13,10.54601,0.04795563,2.070955,0,0
13.5,10.55465,0.01180953,1.910887,0,0
14,10.54912,0.01164472,1.800606,0,0
14.5,10.54912,0.01164472,1.800606,0,0
15,10.54912,0.01164472,1.800606,0,0
15.5,10.54912,0.01164472,1.800606,0,0
16,10.54912,0.01164472,1.800606,0,0
16.5,10.54912,0.01164472,1.800606,0,0
17,10.54912,0.01164472,1.800606,0,0
17.5,10.54912,0.01164472,1.800606,0,0
18,10.54912,0.01164472,1.800606,0,0
18.5,10.54912,0.01164472,1.800606,0,0
19,10.54912,0.01164472,1.800606,0,0
19.5,10.62977,0.06354439,2.006826,0,0
20,11.1649,0.1835377,3.359058,2.804968,0
20.5,12.06211,0.427451,4.513771,12.84131,0
21,12.66776,0.7406545,5.797596,17.81682,0
21.5,13.28697,1.155298,7.154519,17.81682,0
22,13.55881,1.409616,8.02839,17.81682,0
22.5,13.55881,1.409616,8.02839,17.81682,0
23,13.55881,1.409616,8.02839,17.81682,0
23.5,13.55881,1.409616,8.02839,17.81682,0
24,12.77704,1.349035,8.179789,17.81682,0
24.5,12.24432,1.576474,9.483785,17.81682,0
25,12.3338,1.789266,10.31045,17.81682,0
25.5,12.3338,1.789266,10.31045,17.81682,0
26,12.3338,1.789266,10.31045,17.81682,0
26.5,12.3338,1.789266,10.31045,17.81682,0
27,12.3338,1.789266,10.31045,17.81682,0
27.5,12.3338,1.789266,10.31045,17.81682,0
28,12.3338,1.789266,10.31045,17.81682,0
28.5,12.3338,1.789266,10.31045,17.81682,0
29,12.3338,1.789266,10.31045,17.81682,0
29.5,12.3338,1.789266,10.31045,17.81682,0
30,12.3338,1.789266,10.31045,17.81682,0
