Time, X, Y, Z, Rotation, isSick
22,9.92779,0.448,3.568376,0,1
22.5,9.92779,0.448,3.568376,0,1
23,9.92779,0.448,3.568376,0,1
23.5,9.92779,0.448,3.568376,0,1
24,9.92779,0.448,3.568376,0,1
24.5,9.92779,0.448,3.568376,0,1
25,9.92779,0.448,3.568376,0,1
25.5,9.92779,0.448,3.568376,0,1
26,9.92779,0.448,3.568376,0,1
26.5,9.92779,0.448,3.568376,0,1
27,9.92779,0.448,3.568376,0,1
27.5,9.824705,0.4311374,3.637973,0,1
28,9.038816,0.2246839,4.334971,0,1
28.5,9.819201,0.3061422,4.427967,14.91117,1
29,10.35619,0.3340522,4.155081,29.79641,1
29.5,10.524,0.3373127,4.071197,34.79345,1
30,11.09304,0.4492326,4.289184,44.80703,1
30.5,11.7254,0.7093129,5.14705,44.80703,1
31,12.32958,1.05724,6.245526,33.4067,1
31.5,13.11434,1.222378,6.429534,33.4067,1
32,13.08712,1.253105,6.548187,28.8786,1
32.5,13.27035,1.268151,6.488547,23.86255,1
33,13.69477,1.349236,6.576977,23.86255,1
33.5,13.69477,1.349236,6.576977,23.86255,1
34,13.67982,1.349236,6.517453,23.86255,1
34.5,13.42707,1.163499,6.0012,23.86255,1
35,13.57342,1.367782,6.717021,23.86255,1
35.5,13.88658,1.666424,7.776382,23.86255,1
36,13.77147,1.47659,7.067769,23.86255,1
36.5,13.67614,1.257569,6.22861,23.86255,1
37,13.6771,1.274061,6.294312,23.86255,1
37.5,13.6771,1.274061,6.294312,23.86255,1
38,14.04089,1.307497,6.336822,30.55146,1
38.5,14.0898,1.312491,6.341616,31.58119,1
39,14.77314,1.409953,6.550232,46.1745,1
39.5,15.64902,1.447168,6.506859,61.12538,1
40,16.93952,1.538093,7.28192,61.12538,1
40.5,17.83503,1.841725,8.433039,52.24334,1
41,18.41176,2.274821,9.732254,40.09133,1
41.5,19.08753,2.679187,10.97647,40.09133,1
42,19.92542,3.084167,12.13233,44.22906,1
42.5,20.92033,3.460268,13.10106,49.17801,1
43,21.83275,3.938365,14.29759,49.17801,1
43.5,22.19674,4.26924,15.4567,44.17352,1
44,22.8803,4.738795,16.79317,44.17352,1
44.5,23.41032,5.100568,18.20112,44.17352,1
45,23.50539,5.224555,19.49864,31.68257,1
45.5,24.69707,5.302573,20.49933,31.68257,1
46,25.74444,5.347005,21.55362,31.68257,1
46.5,26.28454,5.347006,22.92051,33.77132,1
47,27.47597,5.38031,23.44172,43.79741,1
47.5,28.63302,5.347005,24.40103,43.79741,1
48,29.31893,5.347006,24.6137,66.33289,1
48.5,29.38748,5.347005,25.95364,68.82699,1
49,30.18574,5.347006,27.21346,68.82699,1
49.5,31.17896,5.347006,28.32911,67.04121,1
50,32.37193,5.347006,28.8865,59.59014,1
50.5,33.74692,5.347006,29.38093,59.59014,1
51,34.88246,5.347006,30.19286,59.59014,1
51.5,35.73784,5.347006,30.36909,59.59014,1
52,37.03664,5.507538,31.04926,59.59014,1
52.5,37.56844,5.347006,31.20153,59.59014,1
53,37.05023,5.439702,30.89784,59.59014,1
53.5,37.05023,5.439702,30.89784,59.59014,1
54,37.05023,5.439702,30.89784,59.59014,1
54.5,37.05023,5.439702,30.89784,59.59014,1
55,37.05023,5.439702,30.89784,59.59014,1
55.5,37.20345,5.441856,31.06215,59.59014,1
56,38.41179,5.347006,31.36973,69.62281,1
56.5,39.62179,5.347006,31.97399,72.07983,1
57,40.89272,5.347005,32.7774,72.07983,1
57.5,42.18379,5.347006,32.82571,83.61617,1
58,43.43648,5.347006,33.16779,91.06498,1
58.5,44.05421,5.347006,33.21382,113.267,1
59,44.88484,5.347006,34.41928,113.267,1
59.5,45.77039,5.338933,35.57648,84.74815,1
60,46.94496,5.327146,36.49133,80.39529,1
60.5,47.97489,5.286956,37.49121,63.46712,1
61,49.0953,5.240168,36.98947,60.9785,1
61.5,50.49828,5.164006,36.78888,60.9785,1
62,51.65707,5.073149,37.73515,60.9785,1
62.5,52.44219,5.025678,38.83847,49.83575,1
63,53.70867,4.90912,39.65816,49.83575,1
63.5,55.04337,4.784735,40.34363,49.83575,1
64,56.52192,4.628306,40.57284,49.83575,1
64.5,58.00827,4.461968,40.6244,54.87192,1
65,58.56097,4.408684,41.09742,74.83377,1
65.5,59.70823,4.304066,42.00779,74.83377,1
66,60.89753,4.195138,41.73111,88.32946,1
66.5,62.16105,4.083042,42.2165,90.84224,1
67,62.84418,4.006267,41.8637,115.8851,1
67.5,63.93502,3.939018,42.84515,115.8851,1
68,65.26767,3.862109,43.53512,115.8851,1
68.5,66.70191,3.749321,43.72474,115.8851,1
69,68.18159,3.604162,43.59924,114.2021,1
69.5,69.50336,3.510063,43.47714,104.1835,1
70,70.881,3.369504,42.8737,104.1835,1
70.5,72.35197,3.312628,42.83707,104.1835,1
71,73.44328,3.281627,42.7282,104.1835,1
71.5,73.62352,3.262311,42.50589,104.1835,1
72,73.62352,3.262311,42.50589,104.1835,1
72.5,73.62347,3.265473,42.57939,104.1835,1
73,73.62347,3.287026,42.81374,104.1835,1
73.5,73.62347,3.289849,42.84244,104.1835,1
74,73.62359,3.295947,42.91701,104.1835,1
74.5,73.62357,3.299192,42.94988,104.1835,1
75,73.62357,3.299192,42.94988,104.1835,1
75.5,73.62357,3.299192,42.94988,104.1835,1
76,73.62357,3.299192,42.94988,104.1835,1
76.5,73.07342,3.305368,42.83334,104.1835,1
77,73.12203,3.348323,43.27323,104.1835,1
77.5,73.34386,3.354534,43.38432,104.1835,1
78,73.67111,3.375881,43.70934,104.1835,1
78.5,73.81879,3.399722,43.91129,104.1835,1
79,73.57301,3.396488,43.83254,104.1835,1
79.5,73.37176,3.366899,43.53515,104.1835,1
80,73.57818,3.369617,43.60292,104.1835,1
80.5,73.72581,3.388896,43.87733,104.1835,1
81,73.72581,3.388896,43.87733,104.1835,1
81.5,73.60583,3.731772,43.42592,113.8421,1
90,73.49584,3.32375,43.18737,118.3214,1
90.5,73.49584,3.32375,43.18737,118.3214,1
91,74.37524,3.335021,43.41613,118.3214,1
91.5,75.67075,3.406794,44.16769,118.3214,1
92,76.80022,3.386462,43.88943,129.6893,1
92.5,78.20635,3.44617,44.2845,129.6893,1
93,79.22588,3.443037,44.18819,142.0524,1
93.5,80.16155,3.465589,43.49145,147.6035,1
94,81.2637,3.448516,42.55039,147.6035,1
94.5,82.11162,3.464149,41.34129,147.6035,1
95,83.08729,3.492008,40.19334,147.6035,1
95.5,84.45483,3.543312,39.72029,137.1208,1
96,85.33643,3.59152,38.50625,137.1208,1
96.5,86.62921,3.651545,38.56994,122.5312,1
97,87.87641,3.718163,38.15694,116.1806,1
97.5,88.9877,3.81187,37.14827,116.1806,1
98,90.15141,3.91526,36.20029,116.1806,1
