Time, X, Y, Z, Rotation, isSick
15.5,10.70027,0.4155338,3.8181,0,1
16,11.10253,0.4900327,3.882161,0,1
16.5,11.7804,0.7011999,4.451205,0,1
17,12.34449,0.9011032,5.001966,0,1
17.5,12.70503,1.067578,5.499084,0,1
18,13.05308,1.254548,6.032215,0,1
18.5,13.20064,1.337561,6.266594,0,1
19,13.20064,1.337561,6.266594,0,1
19.5,13.27011,1.380438,6.312815,0,1
20,13.27011,1.380438,6.312815,0,1
20.5,13.4746,1.373129,6.242476,0,1
21,14.84944,1.522093,6.315409,0,1
21.5,15.46665,1.704038,6.838337,0,1
22,15.2621,2.064893,8.236136,0,1
22.5,15.22778,2.443197,9.730424,0,1
23,15.21635,2.777743,11.22912,0,1
23.5,15.3584,3.024603,12.64281,0,1
24,15.72176,3.12491,13.11438,0,1
24.5,16.32664,3.274049,14.37515,0,1
25,16.52566,3.334117,15.25668,0,1
25.5,17.16973,3.419985,15.99942,0,1
26,18.28071,3.577093,16.5723,0,1
26.5,19.74365,3.839701,16.79007,0,1
27,21.15122,4.210721,16.72245,0,1
27.5,22.36479,4.65275,16.6706,0,1
28,23.57402,5.020586,16.60493,0,1
28.5,23.84494,5.071151,16.64336,0,1
29,24.10032,5.127852,16.76559,0,1
29.5,24.14571,5.177377,17.57275,0,1
30,24.57847,5.278703,18.66441,0,1
30.5,25.57005,5.347006,19.52773,0,1
31,26.37298,5.347005,20.04542,0,1
31.5,26.97895,5.347006,20.93754,0,1
32,27.09336,5.365563,22.30019,0,1
32.5,27.26957,5.380311,23.55084,0,1
33,27.90091,5.347006,24.57757,0,1
33.5,28.82119,5.347006,25.19741,0,1
34,29.76456,5.347006,25.74406,0,1
34.5,30.74652,5.347006,26.34541,0,1
35,31.6701,5.347006,26.95542,0,1
35.5,32.59658,5.347006,27.5605,0,1
36,33.56314,5.347006,28.19,0,1
36.5,34.48147,5.347006,28.77703,0,1
37,35.46202,5.347006,29.29681,0,1
37.5,36.21815,5.347006,29.7054,0,1
38,36.69235,5.540039,29.92848,0,1
38.5,36.96022,5.550858,30.09742,0,1
39,36.96022,5.550858,30.09742,0,1
39.5,36.99056,5.440908,30.13278,0,1
40,37.06061,5.443902,30.19524,0,1
40.5,37.36692,5.347006,30.49356,0,1
41,36.91924,5.550378,30.1454,0,1
41.5,37.00022,5.537266,30.10807,0,1
42,36.85666,5.531278,30.02009,3.13959,1
42.5,36.87329,5.347006,29.59223,7.091868,1
