Time, X, Y, Z, Rotation, isSick
14.5,9.92779,0.448,3.568376,0,0
15,9.92779,0.448,3.568376,0,0
15.5,9.92779,0.448,3.568376,0,0
16,9.92779,0.448,3.568376,0,0
16.5,9.92779,0.448,3.568376,0,0
17,9.92779,0.448,3.568376,0,0
17.5,9.92779,0.448,3.568376,0,0
18,9.92779,0.448,3.568376,0,0
18.5,9.92779,0.448,3.568376,0,0
19,9.92779,0.448,3.568376,0,0
19.5,9.92779,0.448,3.568376,0,0
20,9.92779,0.448,3.568376,0,0
20.5,9.940724,0.278871,3.566649,0,0
21,9.940724,0.216389,3.566649,0,0
21.5,9.940724,0.216389,3.566649,0,0
22,9.940724,0.216389,3.566649,0,0
22.5,9.940724,0.216389,3.566649,0,0
23,9.940724,0.216389,3.566649,0,0
23.5,9.940724,0.216389,3.566649,0,0
24,9.940724,0.216389,3.566649,0,0
24.5,9.940724,0.216389,3.566649,0,0
25,9.940724,0.216389,3.566649,0,0
25.5,10.51726,0.4777518,4.555836,0,0
26,10.68806,0.507648,4.915508,348.4209,0
26.5,10.7794,0.7105738,5.713387,340.892,0
27,10.83819,1.037698,7.160869,340.892,0
27.5,11.50362,1.424137,8.40321,340.892,0
28,12.00478,1.791617,9.680208,340.892,0
28.5,11.98653,1.875873,10.18289,340.892,0
29,12.9765,2.207313,10.78191,340.892,0
29.5,12.93423,2.119747,10.3078,340.892,0
30,12.37733,2.002845,10.35724,326.8218,0
30.5,12.42419,1.836312,9.503818,326.8218,0
31,12.44246,2.061059,10.69436,326.8218,0
31.5,13.20784,2.400603,11.6841,326.8218,0
32,13.21013,2.517076,12.31689,338.9497,0
32.5,14.04677,2.585462,11.6656,1.322531,0
33,14.06488,2.600933,11.74518,0.4593953,0
33.5,12.91876,2.464971,12.51511,330.4684,0
34,11.5943,2.076699,12.3372,301.2145,0
34.5,11.05009,1.833079,11.95671,286.9344,0
35,11.24449,1.904266,11.9385,290.4543,0
35.5,12.22111,2.070491,11.03801,319.4505,0
36,12.09642,2.00874,10.85664,320.7488,0
36.5,11.10349,1.813492,11.40612,305.0006,0
37,11.70055,2.085992,12.33811,322.5738,0
37.5,12.6993,2.453639,13.33295,325.212,0
38,13.26642,2.682435,14.69742,325.212,0
38.5,14.05291,2.899542,15.00875,346.1896,0
39,13.896,3.29637,15.77409,346.1896,0
39.5,13.90817,2.800148,17.07563,344.1581,0
40,14.456,2.844573,18.03984,348.6059,0
40.5,15.21333,2.940528,18.90331,356.7289,0
41,15.82814,2.979856,19.89765,357.3268,0
41.5,16.4253,3.028309,20.90314,354.396,0
42,17.50722,3.320654,21.6875,4.086128,0
42.5,17.79782,3.487549,23.06839,347.8156,0
43,18.25893,3.91418,24.43678,345.5893,0
43.5,18.58025,4.14549,25.06737,345.5893,0
44,18.89117,4.403518,25.9733,345.5893,0
44.5,18.54343,4.300449,26.99957,345.5893,0
45,18.00798,3.936723,26.64222,345.5893,0
45.5,18.49895,4.341143,28.06235,345.5893,0
46,18.68613,4.55176,28.94086,345.5893,0
46.5,19.28633,4.920688,30.31979,345.5893,0
47,19.55366,5.033039,31.05784,345.5893,0
47.5,19.87393,5.078074,31.87429,345.5893,0
48,20.17097,5.118807,32.60605,345.5893,0
48.5,20.56351,5.162391,33.65654,345.5893,0
49,20.91667,5.190374,34.70807,345.5893,0
49.5,20.75156,5.176181,34.33331,345.5893,0
50,21.12421,5.228004,34.32536,345.5893,0
50.5,21.016,5.227414,34.468,345.5893,0
51,21.65533,5.276391,34.47295,345.5893,0
51.5,21.03134,5.217597,34.91088,341.3544,0
52,20.62887,5.131306,35.08987,331.958,0
52.5,21.0944,5.20426,35.17231,340.3055,0
53,20.94421,5.190234,34.86491,340.3055,0
53.5,21.07133,5.202434,35.4178,340.3055,0
54,21.09638,5.196657,35.92753,340.3055,0
54.5,21.09638,5.196657,35.92753,340.3055,0
55,21.1703,5.201704,36.53354,340.3055,0
55.5,21.61278,5.223441,37.91855,340.3055,0
56,21.47398,5.226553,37.39653,340.3055,0
56.5,21.37898,5.222744,37.14012,340.3055,0
57,21.46911,5.220235,37.60357,340.3055,0
57.5,21.29398,5.189757,37.77325,340.3055,0
58,21.35433,5.200815,37.73895,340.3055,0
58.5,20.83686,5.117221,37.81223,340.3055,0
59,20.5316,5.057388,37.83507,340.3055,0
59.5,20.42389,5.036287,37.90614,340.3055,0
60,20.13477,4.976131,37.97966,340.3055,0
60.5,21.00732,5.130906,38.33827,340.3055,0
61,22.12192,5.232169,39.27358,340.3055,0
61.5,21.7474,5.178282,40.50487,340.3055,0
62,21.80842,5.177529,40.86161,340.3055,0
62.5,21.98464,5.193549,40.9962,340.3055,0
63,22.04528,5.21744,42.15472,340.3055,0
63.5,21.89828,5.231148,43.61491,340.3055,0
64,21.92295,5.23882,43.79976,340.3055,0
64.5,21.82495,5.260825,44.50329,340.3055,0
65,21.89919,5.262004,44.45266,340.3055,0
