Time, X, Y, Z, Rotation, isSick
6.52,0,-1.341105E-07,7.450246E-13,0,0
7.018048,0.001110241,-7.450581E-08,0.0187363,0,0
7.512509,-0.0006170422,-7.450581E-08,1.501391,0,0
8.018774,0.1146882,-7.450581E-08,3.009994,0,0
8.514724,-0.2533925,-5.960464E-08,4.501599,8.388137,0
9.018855,-0.6943252,-5.960464E-08,5.946314,8.388137,0
9.518499,-0.5427272,0,7.408532,8.388137,0
10.01064,-0.5185097,0,8.844226,8.388137,0
10.51818,-0.658408,0,10.34031,8.388137,0
11.00272,-0.520063,0,11.80868,16.59363,0
11.50484,0.3083814,0,12.54092,46.71925,0
12.01353,0.6141758,-5.960464E-08,11.11537,46.71925,0
12.51768,0.7113866,5.960464E-08,9.65776,46.71925,0
13.02,1.506397,-1.192093E-07,8.864749,67.15961,0
13.52,1.581159,-5.960464E-08,7.399227,68.52624,0
14.02,1.596868,0,5.786384,61.4,0
14.52,0.8815336,0,4.569973,65.84119,0
15.02,1.614828,-5.960464E-08,3.193394,54.81601,0
15.50371,2.404454,0,1.913826,48.81772,0
16.01593,4.19491,0,1.354731,18.08499,0
16.51224,5.685315,-5.960464E-08,2.197312,348.307,0
17.00836,6.102847,-5.960464E-08,3.651965,339.1596,0
17.51961,6.492408,-5.960464E-08,5.110019,343.8156,0
18.02,6.179869,-0.0009301305,6.514853,359.5238,0
18.52,6.143233,0,8.076651,13.41625,0
19.00444,6.678547,0,9.545896,20.9519,0
19.50041,7.830736,-5.960464E-08,10.06375,20.9519,0
20.02,8.772401,0,9.319958,40.25375,0
20.52,8.957208,0,8.211555,61.27715,0
21.00022,9.96695,-5.960464E-08,6.700531,40.7974,0
21.5064,10.58443,-1.192093E-07,4.925948,10.42697,0
22.02,11.22754,-5.960464E-08,4.615868,342.0051,0
22.5078,11.28775,-5.960464E-08,6.030392,347.032,0
23.0076,12.25242,0,6.161918,17.01792,0
23.51545,12.76369,0,7.318473,47.4873,0
24.00942,13.02425,-5.960464E-08,6.466146,60.52877,0
24.51172,13.02425,-1.192093E-07,6.466146,60.52877,0
25.01216,13.3217,-5.960464E-08,5.970127,60.52877,0
25.51754,14.60252,-0.0001901984,5.200771,60.52877,0
26.01124,14.81049,0,3.798195,60.52877,0
26.52,15.76594,-5.960464E-08,2.862838,60.52877,0
27.01857,16.07731,-1.192093E-07,2.236108,60.52877,0
27.50266,16.07731,-1.192093E-07,2.236108,60.52877,0
28.01585,16.07731,-1.192093E-07,2.236108,60.52877,0
28.50554,16.72368,0,2.886232,60.52877,0
29.01801,17.15892,0,4.340985,60.52877,0
29.52,16.79087,-5.960464E-08,5.672743,60.52877,0
30.00033,17.19224,0,7.136337,70.85379,0
30.50351,18.68387,0,7.565848,89.66856,0
31.01175,20.10074,-5.960464E-08,7.681254,89.66856,0
31.51202,21.17123,0,7.581306,89.66856,0
32.01699,22.14604,-1.192093E-07,8.736724,89.66856,0
32.50004,23.39314,0,8.875716,89.66856,0
33.00034,24.8707,-5.960464E-08,8.632112,89.66856,0
33.50883,25.98693,5.960464E-08,8.924162,89.66856,0
34.00309,27.25144,1.192093E-07,8.875493,89.66856,0
34.51867,28.64623,0,9.202044,89.66856,0
35.00963,29.32322,0,9.912434,89.66856,0
35.51012,30.71993,-5.960464E-08,9.431481,89.66856,0
36.01348,32.12535,-5.960464E-08,9.882918,89.66856,0
36.51665,33.57935,-5.960464E-08,9.493789,89.66856,0
37.01638,35.04433,0,9.176896,89.66856,0
37.51769,36.39938,0,9.58104,84.73944,0
38.01957,37.223,0,10.42026,54.62698,0
38.52,37.55191,-1.192093E-07,10.172,26.34038,0
39.01937,36.26991,5.960464E-08,10.48733,20.40469,0
39.52,35.20362,-5.960464E-08,11.71076,38.46172,0
40.02,33.92075,-5.960464E-08,11.93443,44.8994,0
40.52,33.18665,0,13.54286,64.72676,0
41.02,33.57087,0,15.49075,93.16154,0
41.52,34.73964,0,15.92739,93.16154,0
42.0028,35.64839,0,14.93596,101.3777,0
42.52,37.03247,0,14.9126,88.17805,0
43.00699,38.47345,-5.960464E-08,14.48774,88.17805,0
43.50747,39.90732,-5.960464E-08,14.42586,72.02918,0
44.00581,40.78921,-1.788139E-07,14.93334,45.00822,0
44.51078,41.52717,0,16.43884,64.7698,0
45.00646,42.32806,-5.960464E-08,17.63664,66.57194,0
45.50168,43.38869,-5.960464E-08,18.55592,66.57194,0
46.02,44.48627,-5.960464E-08,19.10344,66.57194,0
46.50903,45.98133,0,19.44677,66.57194,0
47.02,47.34833,-5.960464E-08,19.93357,66.57194,0
47.50307,48.33148,-5.960464E-08,20.87069,66.57194,0
48.01561,49.53991,-5.960464E-08,21.7541,63.16479,0
48.50346,50.43529,-1.192093E-07,21.77313,64.81865,0
49.01277,50.48631,0,21.9874,89.62052,0
49.50239,51.66495,-5.960464E-08,20.81973,69.32418,0
50.02,52.94619,-5.960464E-08,20.64392,64.19736,0
50.50008,53.89526,-5.960464E-08,21.44186,64.19736,0
51.00016,55.25199,0,21.56179,90.53041,0
51.52,56.40619,0,21.56792,108.8133,0
52.02,56.71145,0,20.13601,111.6716,0
52.52,57.36352,0,18.60448,94.24738,0
53.02,58.00491,-5.960464E-08,18.24518,91.01707,0
53.51777,57.76474,5.960464E-08,19.12276,65.50172,0
54.02,57.9623,0,18.49318,60.51938,0
54.50201,59.08706,-5.960464E-08,19.37834,68.23405,0
55.00304,60.47906,-5.960464E-08,19.94285,71.45694,0
55.50449,61.9072,0,20.15634,65.14927,0
56.0117,63.54885,0,19.94396,34.71714,0
56.50295,64.0826,0,20.14337,39.64367,0
57.00736,64.62884,-1.192093E-06,19.91554,63.08118,0
57.50792,65.77529,0,19.10649,37.17172,0
58.00932,65.91367,0,19.69923,30.75121,0
58.51229,65.181,0,20.94951,30.75121,0
59.01118,65.58855,-5.960464E-08,22.2528,30.75121,0
59.51304,67.00621,0,22.73375,31.14011,0
60.01743,68.36015,0,23.63831,1.113885,0
60.51754,67.75041,-0.0001380444,25.31013,27.60998,0
61.01647,67.43317,-5.960464E-08,26.97429,42.56863,0
61.52,67.47282,-5.960464E-08,28.38386,42.56863,0
62.02,68.57795,-5.960464E-08,28.90572,33.79266,0
62.52,69.80843,-5.960464E-08,29.55171,63.67699,0
63.01898,71.37218,0,29.66323,93.50824,0
63.50441,72.66205,0,29.06542,93.50824,0
64.01026,73.98692,0,28.79749,99.59119,0
64.50993,75.06732,-1.788139E-07,28.91007,69.61135,0
65.02,76.38665,-5.960464E-08,28.45868,46.20402,0
65.50655,77.62708,-5.960464E-08,29.14663,31.7233,0
66.0152,79.59248,-0.0008358359,29.12216,1.204738,0
74.50082,76.53065,-0.0006495714,32.66822,343.3297,0
75.01385,76.36329,-5.960464E-08,32.78062,343.3297,0
75.52,75.0375,-5.960464E-08,33.31772,343.3297,0
76.00286,74.13672,-5.960464E-08,34.6446,4.350494,0
76.50747,74.81935,-5.960464E-08,35.54283,31.22182,0
77.02,76.48207,0,35.66276,17.68415,0
77.52,75.56161,-5.960464E-08,36.33405,17.68415,0
78.02,74.96188,-5.960464E-08,37.62689,17.68415,0
78.51505,75.03456,-5.960464E-08,38.18787,17.68415,0
79.00186,74.24453,-5.960464E-08,39.55469,32.71267,0
79.50431,74.07594,-5.960464E-08,40.97211,55.81004,0
80.00933,75.37204,0,41.73991,62.31211,0
80.50675,76.65454,5.960464E-08,41.32137,73.36587,0
81.0105,76.73775,-5.960464E-08,40.37222,73.36587,0
81.51115,76.56812,-5.960464E-08,38.9828,73.36587,0
82.0106,77.75148,-5.960464E-08,38.09533,73.36587,0
82.51181,78.67673,-5.960464E-08,37.14277,73.36587,0
83.01403,78.67673,-0.0008142591,37.14277,73.36587,0
83.51505,78.67673,-0.0008142591,37.14277,73.36587,0
84.01486,78.67673,-0.0008142591,37.14277,73.36587,0
84.52,78.67673,-0.0008142591,37.14277,73.36587,0
85.02,79.9591,-5.960464E-08,37.08687,73.36587,0
85.5192,80.18483,-5.960464E-08,35.87317,73.36587,0
86.01935,80.72908,0,35.65571,73.36587,0
86.51597,80.8738,-1.192093E-07,35.57843,73.36587,0
87.02,80.8738,-1.192093E-07,35.57843,73.36587,0
87.51721,80.8738,-1.192093E-07,35.57843,73.36587,0
88.02,81.45371,-5.960464E-08,35.88091,73.36587,0
88.52,82.21634,-5.960464E-08,37.05334,73.36587,0
89.02,83.29012,-5.960464E-08,37.34917,73.36587,0
89.52,83.3252,0,38.56767,73.36587,0
90.0025,84.21563,0,39.23473,70.13715,0
90.52,83.86366,-5.960464E-08,40.18851,53.51594,0
91.00557,84.72704,-5.960464E-08,41.15353,53.51594,0
91.50382,84.44428,0,42.72139,63.40696,0
92.00941,84.24609,0,44.72382,93.74055,0
92.50448,84.52323,-5.960464E-08,46.50101,118.249,0
93.01931,85.4319,-5.960464E-08,47.15047,105.6732,0
93.5026,86.52582,-5.960464E-08,46.571,105.6732,0
94.01581,87.95083,0,46.52147,96.76985,0
94.51814,89.37399,0,47.0097,97.79226,0
95.00751,90.72078,-5.960464E-08,46.79198,100.6966,0
95.51884,92.12729,-1.788139E-07,45.88062,70.01804,0
96.02,93.00727,-5.960464E-08,45.79726,41.26859,0
96.5084,92.97919,-5.960464E-08,46.38914,27.06398,0
97.01809,92.97919,-5.960464E-08,46.38914,27.06398,0
97.51402,93.24437,0,47.26704,49.87016,0
98.01759,94.68407,-5.960464E-08,47.43214,51.58197,0
98.52,96.12479,-5.960464E-08,47.4291,51.58197,0
99.02,97.62231,-1.192093E-07,47.40098,51.58197,0
99.50155,99.11287,-1.192093E-07,47.57906,51.58197,0
100.0018,99.73273,-5.960464E-08,46.65688,51.58197,0
100.503,100.8834,-0.0004649758,47.44556,28.20665,0
101.0021,102.6748,0,47.2279,7.696006,0
101.5103,102.9537,-5.960464E-08,47.44219,6.766267,0
102.0082,102.9565,-1.192093E-07,47.45553,6.766267,0
102.5166,103.5329,0,48.4337,6.766267,0
103.0135,104.6288,-5.960464E-08,49.22223,6.766267,0
103.514,105.9667,-5.960464E-08,49.21552,6.766267,0
104.0116,106.6759,-5.960464E-08,49.38049,6.766267,0
104.5117,106.6759,-5.960464E-08,49.38049,6.766267,0
105.02,106.072,-5.960464E-08,49.71889,6.766267,0
105.52,106.072,-1.192093E-07,49.63256,6.766267,0
106.02,106.072,-1.192093E-07,49.46265,6.766267,0
106.5048,106.293,-5.960464E-08,49.55779,6.766267,0
107.0099,107.6896,-5.960464E-08,49.77791,6.766267,0
107.5101,108.1489,0,50.0503,22.79423,0
108.0059,107.8999,0,50.82182,52.53896,0
108.5171,108.6022,-5.960464E-08,51.03151,71.42493,0
109.02,108.4535,0,50.21012,71.42493,0
109.5155,109.6635,-5.960464E-08,48.72607,71.42493,0
110.0165,109.4112,-0.0007826686,47.54949,71.42493,0
110.52,109.9461,-5.960464E-08,46.66973,71.42493,0
111.0014,110.8934,-5.960464E-08,46.84135,71.42493,0
111.5021,110.8422,0,48.30467,71.42493,0
112.02,111.0451,-5.960464E-08,49.76598,71.42493,0
112.506,111.6296,-1.192093E-07,50.5814,71.42493,0
113.0038,112.4829,0,50.30363,71.42493,0
113.5047,113.4808,-5.960464E-08,49.5366,71.42493,0
114.0079,113.1874,-5.960464E-08,50.11914,71.42493,0
114.5082,114.6202,-5.960464E-08,49.95117,42.93082,0
115.012,115.6094,0,50.93398,32.75039,0
115.5025,116.0707,-1.192093E-07,51.85805,28.25755,0
116.0046,114.9355,-0.0006394386,51.53135,28.25755,0
116.5143,113.705,0,51.61682,28.25755,0
117.0163,113.9191,-0.0007868409,52.27864,28.25755,0
117.5154,114.3654,-5.960464E-08,52.5017,28.25755,0
118.0183,115.3106,-5.960464E-08,53.29855,28.25755,0
118.52,116.1804,-1.192093E-07,54.32083,17.03817,0
119.0194,116.989,-5.960464E-08,55.60563,7.378556,0
119.52,116.9902,-5.960464E-08,56.93062,357.685,0
120.02,117.8746,0,58.43645,327.6596,0
120.52,117.7338,0,60.04717,297.6276,0
121.02,119.0214,-5.960464E-08,60.73402,294.5302,0
121.52,119.2999,-5.960464E-08,62.18013,294.5302,0
122.02,119.2772,-5.960464E-08,63.67646,294.5302,0
122.5059,119.3733,-5.960464E-08,64.90275,307.8326,0
123.02,119.4226,-5.960464E-08,66.08208,307.8326,0
123.5067,118.6757,-0.0004859567,67.35994,307.8326,0
124.0037,118.7165,-5.960464E-08,68.82245,307.8326,0
124.5094,119.0143,-5.960464E-08,70.24986,307.8326,0
125.0085,118.6447,-5.960464E-08,71.68101,307.8326,0
125.5088,119.0227,0,72.80906,302.3288,0
126.0099,119.5114,-5.960464E-08,74.01117,297.118,0
126.5103,119.1518,0,75.15954,297.118,0
