Time, X, Y, Z, Rotation, isSick
8.512812,0.08108521,-1.341105E-07,7.450246E-13,0,0
9.011575,0.08108521,-1.341105E-07,7.450246E-13,0,0
9.513721,0.08108521,-1.341105E-07,7.450246E-13,0,0
10.01615,0.08108521,-1.341105E-07,7.450246E-13,0,0
10.5172,0.08108521,-1.341105E-07,7.450246E-13,0,0
11.01898,0.08108521,-1.341105E-07,7.450246E-13,0,0
11.52,0.08108521,-1.341105E-07,7.450246E-13,0,0
12.02,0.08108521,-1.341105E-07,7.450246E-13,0,0
12.52,0.2211127,-1.490116E-08,0.3549002,0,0
13.02,0.5567675,-1.341105E-07,1.009934,0,0
13.52,0.5567675,-1.341105E-07,1.009934,0,0
14.02,0.5567675,-1.341105E-07,1.009934,0,0
14.50138,0.5567675,-1.341105E-07,1.009934,0,0
15.00131,0.5567675,-1.341105E-07,1.009934,0,0
15.5156,0.5567675,-1.341105E-07,1.009934,0,0
16.01869,0.5567675,-1.341105E-07,1.009934,0,0
16.52,0.5567675,-1.341105E-07,1.009934,0,0
17.01896,0.5567675,-1.341105E-07,1.009934,0,0
17.52,0.5567675,-1.341105E-07,1.009934,0,0
18.02,0.5567675,-1.341105E-07,1.009934,0,0
18.52,0.5567675,-1.341105E-07,1.009934,0,0
19.02,0.5567675,-1.341105E-07,1.009934,0,0
19.52,0.5567675,-1.341105E-07,1.009934,0,0
20.02,0.5567675,-1.341105E-07,1.009934,0,0
20.52,0.5567675,-1.341105E-07,1.009934,0,0
21.00122,0.1550592,-1.341105E-07,1.367868,0,0
21.50258,-0.3658704,-7.450581E-08,1.697452,0,0
22.00197,-0.3658704,-7.450581E-08,1.697452,0,0
22.50186,-0.4031807,-7.450581E-08,1.631123,0,0
23.00263,-0.4031807,-1.341105E-07,1.631123,0,0
23.50522,-0.4031807,-1.341105E-07,1.631123,0,0
24.00591,-0.6780132,-7.450581E-08,2.608954,0,0
24.50912,-0.6347845,-7.450581E-08,3.193696,0,0
25.00982,-0.8937175,-7.450581E-08,4.136931,0,0
25.51275,-1.286857,-1.490116E-08,5.405892,0,0
26.01313,-1.078592,-7.450581E-08,6.838327,0,0
26.51469,-0.4613672,-7.450581E-08,7.856705,0,0
27.01427,-1.005091,-7.450581E-08,7.927006,0,0
27.51726,-1.677837,-1.490116E-08,9.120733,0,0
28.01921,-1.682553,-1.490116E-08,10.59776,0,0
28.52,-1.450771,-1.490116E-08,11.96492,0,0
29.02,-0.7249761,-7.450581E-08,13.05541,0,0
29.52,-0.5890791,-1.192093E-07,13.41033,16.52026,0
30.02,-0.8459887,0,14.67075,33.74929,0
30.52,0.690295,-5.960464E-08,15.15147,63.60402,0
31.00043,1.287865,0,13.86898,43.58476,0
31.5128,2.565929,-5.960464E-08,13.57168,31.87771,0
32.01203,3.091119,-5.960464E-08,13.64194,31.87771,0
32.51321,3.595585,0,13.96869,58.10128,0
33.01401,5.235472,-5.960464E-08,13.70991,88.14753,0
33.51679,6.321686,-5.960464E-08,12.20262,118.3126,0
34.01778,6.721253,0,11.46802,139.9336,0
34.51727,5.57515,0,10.81493,134.9727,0
35.0196,3.584989,0,11.40271,104.8336,0
35.52,3.188228,-5.960464E-08,11.70864,79.12364,0
36.02,3.834969,0,10.77351,49.06091,0
36.52,4.712684,0,10.75553,19.0052,0
37.02,6.04458,-5.960464E-08,10.28582,349.0514,0
37.52,6.889444,-5.960464E-08,10.64746,318.9376,0
38.02,8.407187,0,10.70859,311.9927,0
38.51445,9.561704,0,11.7026,281.1003,0
39.0156,9.554729,-1.192093E-07,12.68054,251.1738,0
39.52,9.431653,-5.960464E-08,14.00158,222.7073,0
40.00463,8.574298,0,15.07396,191.8325,0
40.50199,7.623363,-0.0003871918,13.69988,203.6753,0
41.00411,5.980014,0,13.50685,233.8008,0
41.50487,5.086341,-5.960464E-08,13.59477,229.1118,0
42.00745,4.497368,-5.960464E-08,15.14178,200.6064,0
42.50883,2.718985,0,14.61239,222.2617,0
43.00915,0.9108344,-5.960464E-08,15.16307,252.2793,0
43.51277,-0.5226968,-5.960464E-08,16.55334,282.4948,0
44.01172,-1.419912,-1.192093E-07,18.21516,304.3851,0
44.51439,-1.60102,-5.960464E-08,19.9049,315.8441,0
45.01557,-1.871226,-1.192093E-07,22.04092,345.9139,0
45.51576,-1.533299,0,24.10379,15.27635,0
46.01778,0.2383915,0,25.01935,45.39608,0
46.51896,0.9614791,-5.960464E-08,23.86487,67.8939,0
47.02,0.9890538,-5.960464E-08,22.3391,43.57276,0
47.52,0.7674302,-5.960464E-08,20.87812,33.88036,0
48.02,0.6704963,-5.960464E-08,20.1962,26.59419,0
48.50046,1.219561,-1.192093E-07,18.36003,356.3806,0
49.00039,1.825448,-5.960464E-08,18.3595,334.7542,0
49.50208,2.712353,-5.960464E-08,19.34987,334.7542,0
50.00177,2.293952,-5.960464E-08,20.76199,334.7542,0
50.50355,2.586479,-5.960464E-08,22.44839,345.0815,0
51.00296,3.397479,0,24.32942,15.04472,0
51.50434,3.336324,-0.0002093911,24.10448,4.724902,0
52.00474,4.609461,0,23.94954,334.7016,0
52.50372,4.137193,0,24.61193,304.7632,0
53.00662,2.403264,-5.960464E-08,25.02551,324.6789,0
53.50771,1.226238,0,26.68143,354.4815,0
54.00939,-0.04409981,-5.960464E-08,27.2363,344.4621,0
54.51028,-0.8053454,0,28.80011,357.1799,0
55.01215,-1.240003,0,30.60237,16.63201,0
55.51374,-0.5083774,0,32.3586,39.3713,0
56.01418,0.8177568,-5.960464E-08,33.54276,52.33907,0
56.51526,2.171692,-5.960464E-08,34.71709,67.20533,0
