Time, X, Y, Z, Rotation, isSick
9.5015,0,-1.341105E-07,7.450246E-13,0,0
10.01663,0,-1.341105E-07,7.450246E-13,0,0
10.52,0.1934976,-1.490116E-08,0.7155981,0,0
11.0187,-0.1958615,0,2.182842,350.9797,0
11.51943,0.02791297,0,3.760565,339.9379,0
12.02,0.2240705,5.960464E-08,4.939785,339.9379,0
12.52,0.3270805,-5.960464E-08,6.464679,332.9821,0
13.02,0.5036418,0,7.96018,332.9821,0
13.52,0.4369169,0,9.439317,332.9821,0
14.00002,-0.3387535,0,10.70247,354.1391,0
14.50081,-0.9174064,0,12.08966,10.38404,0
15.00336,-0.3762043,0,13.31765,10.38404,0
15.50243,-0.2754993,0,14.26525,345.4243,0
16.00362,-0.2389173,-5.960464E-08,15.70261,345.4243,0
16.50397,-0.2907012,-2.980232E-06,17.07643,345.4243,0
17.00647,0.1735419,-5.960464E-08,18.45637,345.4243,0
17.50877,-0.01278347,-5.960464E-08,19.8814,345.4243,0
18.01027,-0.1099013,0,21.28457,359.315,0
18.51129,0.514362,0,22.41137,10.41809,0
19.01391,1.480676,-5.960464E-08,23.6739,3.585224,0
19.51432,2.629669,-5.960464E-08,24.5922,3.585224,0
20.01536,3.922895,-5.960464E-08,25.60325,355.3969,0
20.51734,4.780462,0,26.8904,352.5319,0
21.01864,5.721788,-5.960464E-08,28.24119,343.33,0
21.51956,6.151474,-6.270409E-05,29.82253,332.3491,0
22.02,5.954269,0,31.13684,340.7155,0
22.52,6.082878,0,32.42759,350.6982,0
23.02,7.192575,0,33.44132,350.6982,0
23.52,8.162678,0,34.85944,336.1153,0
24.02,8.245114,0,36.5659,308.1406,0
24.52,6.864324,-5.960464E-08,37.21794,323.2776,0
25.02,6.963322,0,38.70505,323.2776,0
25.50132,6.320176,-5.960464E-08,39.95317,334.9248,0
26.00297,6.611587,-0.0001762509,41.51667,328.4398,0
26.50518,6.040801,0,42.82896,343.5414,0
27.00521,4.976526,0,43.90216,13.54159,0
27.50633,5.273148,-1.192093E-07,43.8815,1.211525,0
28.00817,6.911102,-5.960464E-08,44.51281,331.1013,0
28.51271,7.261851,-1.192093E-07,45.2301,300.8298,0
29.02,7.409697,-1.192093E-07,45.90464,271.9522,0
29.52,7.252192,0,45.50332,285.2701,0
30.02,6.395063,0,45.78592,315.4457,0
30.52,5.869591,0,45.64764,345.5104,0
31.00119,5.346204,0,45.86518,15.58464,0
31.503,6.195336,-5.960464E-08,46.75421,26.02639,0
32.00407,7.658862,0,46.92747,26.02639,0
32.50669,9.146998,0,46.86317,26.02639,0
33.0198,11.05408,0,47.07546,7.723479,0
33.52,12.42771,-4.678965E-05,48.15413,339.3255,0
34.02,12.55637,-0.0001177788,48.22157,333.2262,0
34.52,12.3526,0,49.19985,334.2744,0
35.02,12.04689,-5.960464E-08,50.32507,4.327739,0
35.52,12.79384,-5.960464E-08,51.2347,25.40914,0
36.00088,14.59666,-1.192093E-07,51.86578,1.949177,0
36.50126,15.27724,-5.960464E-08,53.05458,4.889736,0
37.00198,15.26537,0,54.57502,34.93175,0
37.5031,16.45337,-5.960464E-08,54.75641,49.94305,0
38.01844,17.49578,-5.960464E-08,55.82655,68.9911,0
38.52,18.65835,-1.192093E-07,57.05722,97.35126,0
39.02,19.56207,-1.192093E-07,57.3962,127.4647,0
39.51958,20.15112,-5.960464E-08,57.47626,157.2319,0
40.02,19.70622,-5.960464E-08,56.3154,160.7964,0
40.52,18.58675,0,55.239,157.9445,0
41.02,17.35972,0,53.86376,142.8225,0
41.52,16.72474,-1.192093E-07,53.04771,116.296,0
42.00017,17.16917,-5.960464E-08,52.00187,86.2063,0
42.50047,18.75277,-5.960464E-08,51.67402,63.44721,0
43.00092,20.22319,-5.960464E-08,51.70422,63.44721,0
43.50254,21.68338,-5.960464E-08,51.74588,63.44721,0
44.00413,23.00933,0,52.10684,85.82944,0
44.50404,24.30008,0,52.0164,107.5519,0
45.00548,24.5971,-2.384186E-07,50.16385,77.46574,0
45.50675,25.64797,-5.960464E-08,49.12383,47.39003,0
46.00713,27.40146,-5.960464E-08,48.9332,17.36807,0
46.50922,27.23485,0,50.16011,35.5888,0
47.01024,27.7675,-5.960464E-08,51.5994,65.64812,0
47.51136,29.02687,0,52.5784,95.7135,0
48.01313,30.2665,-5.960464E-08,52.12705,117.9753,0
48.51395,30.97666,-1.192093E-07,51.8133,145.3863,0
49.01679,31.63333,-1.192093E-07,52.09252,175.5549,0
49.51672,32.10316,0,50.83153,205.3523,0
50.0174,31.38636,-1.192093E-07,49.5722,219.889,0
50.51927,29.674,-5.960464E-08,49.16323,203.0734,0
51.01961,27.74115,-5.960464E-08,49.40958,183.0642,0
51.52,26.08932,-5.960464E-08,48.55806,161.4357,0
52.02,25.9034,-5.960464E-08,47.09487,161.4357,0
52.52,25.6541,0,45.64109,161.4357,0
53.02,25.71805,0,44.17191,163.7596,0
53.52,26.22339,-5.960464E-08,42.75783,186.9127,0
54.02,26.36292,0,41.27327,217.0084,0
54.50105,26.66894,-5.960464E-08,40.74743,247.1156,0
55.00245,25.52284,-5.960464E-08,40.33649,277.1977,0
55.50278,24.99682,0,41.13171,307.2157,0
56.00392,24.54731,-5.960464E-08,42.48597,312.1939,0
56.50481,24.69982,-5.960464E-08,43.97722,312.1939,0
57.00748,25.16292,0,45.72975,298.2371,0
57.51014,24.96286,-5.960464E-08,47.89436,268.0781,0
58.00927,24.64208,-5.960464E-08,48.71394,238.1306,0
58.51083,23.30639,-5.960464E-08,49.56386,208.0372,0
59.01035,22.28728,-5.960464E-08,49.02349,178.0663,0
59.51287,22.2547,0,48.2119,176.4885,0
60.0128,22.76793,0,46.80193,189.7541,0
60.51348,21.01726,0,45.96505,168.5214,0
61.02,19.33402,-1.192093E-07,44.71023,139.6723,0
61.50275,20.00453,-5.960464E-08,43.6151,136.9665,0
62.00415,21.0311,-1.192093E-07,42.68711,147.7636,0
62.50607,21.03334,-5.960464E-08,41.18806,147.7636,0
63.00697,21.2559,-5.960464E-08,39.70192,147.7636,0
63.50655,21.40917,-5.960464E-08,38.21194,147.7636,0
64.00832,21.42386,-5.960464E-08,36.70675,147.7636,0
64.50866,21.50199,0,35.19395,146.6548,0
65.01227,20.91721,0,33.24825,116.4388,0
65.51321,21.03143,-1.192093E-07,32.26146,86.38291,0
66.01412,22.46669,-5.960464E-08,31.48731,56.32851,0
66.51543,23.3668,-1.192093E-07,30.98183,26.25094,0
67.01714,25.25707,0,30.72205,356.148,0
67.51861,25.2591,-5.960464E-08,30.78288,354.499,0
68.02,24.36635,0,31.50224,355.8859,0
68.50526,23.38097,0,33.08398,26.33842,0
69.01928,23.92251,-5.960464E-08,34.46284,42.70354,0
73.00301,25.08615,-1.192093E-07,36.47771,54.59458,0
73.50394,25.13325,-5.960464E-08,36.51789,54.59458,0
74.00689,26.18078,0,37.52972,66.38573,0
74.51892,27.11699,0,37.21938,97.10595,0
75.02,27.60481,-5.960464E-08,37.13991,108.2704,0
75.52,28.52425,-1.192093E-07,35.8909,103.251,0
76.02,29.50925,-0.0003538132,34.3865,84.8488,0
76.52,30.95264,-5.960464E-08,34.44533,112.3033,0
77.02,32.52395,-5.960464E-08,34.10869,142.4106,0
77.52,33.90127,0,33.1347,172.4597,0
78.00014,34.10646,-5.960464E-08,31.71187,202.5148,0
78.50151,32.78559,-5.960464E-08,31.31164,205.7969,0
79.00221,31.10639,0,31.3286,196.5615,0
79.50166,29.2061,-1.192093E-07,31.07606,178.3266,0
80.00216,27.94839,0,30.18634,148.2969,0
80.50448,27.42805,0,29.23132,144.9296,0
81.00646,27.42805,-1.192093E-07,29.23132,144.9296,0
