Time, X, Y, Z, Rotation, isSick
4.52,0,-1.341105E-07,7.450246E-13,0,0
5.001576,0.3788771,0,-0.007117271,16.29082,0
5.503969,1.443694,0,1.003204,12.3196,0
6.018347,1.536036,-5.960464E-08,1.556659,7.320115,0
6.52,0.5858462,-1.192093E-07,1.393247,7.320115,0
7.02,1.367399,-5.960464E-08,1.732458,17.4444,0
7.505749,1.78812,0,3.154414,17.4444,0
8.02,1.789814,-5.960464E-08,4.604139,23.82798,0
8.517228,2.897495,0,5.394559,43.19464,0
9.02,3.168644,0,4.716358,63.97503,0
9.512576,3.291033,0,3.210418,76.59158,0
10.00328,4.173273,-5.960464E-08,2.057198,76.59158,0
10.51249,5.36677,-5.960464E-08,1.115093,76.59158,0
11.00389,6.655759,-5.960464E-08,0.7255911,73.18594,0
11.52,8.048204,-5.960464E-08,0.4459878,73.18594,0
12.00806,9.576986,-5.960464E-08,0.6567574,73.18594,0
12.50906,11.06345,-5.960464E-08,0.7090849,73.18594,0
13.02,12.02632,0,1.761893,65.26362,0
13.51127,13.54093,-5.960464E-08,1.759796,74.04951,0
14.02,14.88968,-5.960464E-08,1.264294,81.21043,0
14.51352,16.11414,-5.960464E-08,0.4821237,81.21043,0
15.01189,17.55077,-5.960464E-08,0.2362162,81.21043,0
15.50266,18.98894,-5.960464E-08,0.3208989,81.21043,0
16.01754,19.77461,-1.788139E-07,0.8203055,81.21043,0
16.50415,21.10679,-5.960464E-08,0.7373359,81.21043,0
17.00215,22.33724,0,-0.1096774,81.21043,0
17.51458,23.81252,-5.960464E-08,-0.3235835,81.21043,0
18.02,25.24267,-5.960464E-08,-0.1586694,81.21043,0
18.50032,26.74394,0,-0.03619064,81.21043,0
19.02,28.16805,-5.960464E-08,0.4131717,81.21043,0
19.51101,29.36308,-5.960464E-08,1.156358,81.21043,0
20.00064,29.48986,-1.192093E-07,1.4799,81.21043,0
20.50448,30.96958,0,1.580078,89.03773,0
21.02,32.32181,-5.960464E-08,1.081937,89.03773,0
21.50359,33.74439,-5.960464E-08,0.9846837,89.03773,0
