Time, X, Y, Z, Rotation, isSick
16.01842,0.2971008,-1.341105E-07,-0.01685402,0,-1
16.51486,0.2971008,-1.341105E-07,-0.01685402,0,-1
17.00549,0.2971008,-1.341105E-07,-0.01685402,0,-1
17.52,0.2971008,-1.341105E-07,-0.01685402,0,-1
18.01245,0.2971008,-1.341105E-07,-0.01685402,0,-1
18.50995,0.2971008,-1.341105E-07,-0.01685402,0,-1
19.02,0.2971008,-1.341105E-07,-0.01685402,0,-1
19.52,0.2971008,-1.341105E-07,-0.01685402,0,-1
20.02,0.2971008,-1.341105E-07,-0.01685402,0,-1
20.51737,0.2971008,-1.341105E-07,-0.01685402,0,-1
21.01992,0.2971008,-1.341105E-07,-0.01685402,0,-1
21.52,0.2971008,-1.341105E-07,-0.01685402,0,-1
22.02,0.2971008,-1.341105E-07,-0.01685402,0,-1
22.52,0.2971008,-1.341105E-07,-0.01685402,0,-1
23.02,0.2971008,-1.341105E-07,-0.01685402,0,-1
23.52,0.2971008,-1.341105E-07,-0.01685402,0,-1
24.02,0.2971008,-1.341105E-07,-0.01685402,0,-1
24.52,0.2971008,-1.341105E-07,-0.01685402,0,-1
25.002,0.2971008,-1.341105E-07,-0.01685402,0,-1
25.51697,0.2971008,-1.341105E-07,-0.01685402,0,-1
26.00071,0.2971008,-1.341105E-07,-0.01685402,0,-1
26.50529,0.2971008,-1.341105E-07,-0.01685402,0,-1
27.0071,0.2971008,-1.341105E-07,-0.01685402,0,-1
27.50681,0.2971008,-1.341105E-07,-0.01685402,0,-1
28.0094,0.2971008,-1.341105E-07,-0.01685402,0,-1
28.52,0.2971008,-1.341105E-07,-0.01685402,0,-1
29.02,0.2971008,-1.341105E-07,-0.01685402,0,-1
29.52,0.2971008,-1.341105E-07,-0.01685402,0,-1
30.02,0.2971008,-1.341105E-07,-0.01685402,0,-1
30.50408,0.2971008,-1.341105E-07,-0.01685402,0,-1
31.00077,0.2971008,-1.341105E-07,-0.01685402,0,-1
31.50235,0.2971008,-1.341105E-07,-0.01685402,0,-1
32.00543,0.2971008,-1.341105E-07,-0.01685402,0,-1
32.52,0.3152323,4.470348E-08,0.5690226,0,-1
33.02,0.3279189,-7.450581E-08,0.6686302,0,-1
33.51182,0.7876099,-1.192093E-07,0.9050375,9.985083,-1
34.0083,1.297893,-5.960464E-08,1.622334,14.92915,-1
34.5108,1.26011,-5.960464E-08,1.527298,21.57886,-1
35.01212,1.26011,-5.960464E-08,1.527298,21.57886,-1
35.51328,1.26011,-1.192093E-07,1.527298,21.57886,-1
36.01529,1.26011,-1.192093E-07,1.527298,21.57886,-1
36.50138,1.26011,-1.192093E-07,1.527298,21.57886,-1
37.01342,1.26011,-1.192093E-07,1.527298,21.57886,-1
37.51343,1.26011,-1.192093E-07,1.527298,21.57886,-1
38.01524,1.26011,-1.192093E-07,1.527298,21.57886,-1
38.51177,1.26011,-1.192093E-07,1.527298,21.57886,-1
39.00879,1.26011,-1.192093E-07,1.527298,21.57886,-1
39.50381,1.26011,-1.192093E-07,1.527298,21.57886,-1
40.01945,1.26011,-1.192093E-07,1.527298,21.57886,-1
40.52,1.26011,-1.192093E-07,1.527298,21.57886,-1
41.00792,1.26011,-1.192093E-07,1.527298,21.57886,-1
41.50771,1.26011,-1.192093E-07,1.527298,21.57886,-1
42.02,1.26011,-1.192093E-07,1.527298,21.57886,-1
42.52,1.26011,-1.192093E-07,1.527298,21.57886,-1
43.00756,1.26011,-1.192093E-07,1.527298,21.57886,-1
43.52,1.26011,-1.192093E-07,1.527298,21.57886,-1
44.00323,1.26011,-1.192093E-07,1.527298,21.57886,-1
44.51334,1.26011,-1.192093E-07,1.527298,21.57886,-1
45.0089,1.26011,-1.192093E-07,1.527298,21.57886,-1
