Time, X, Y, Z, Rotation, isSick
3.02,0,-1.341105E-07,7.450246E-13,0,0
3.52,0,-1.341105E-07,7.450246E-13,0,0
4.013278,0.3440463,-7.450581E-08,0.8643875,0,0
4.501712,1.768644,-1.192093E-07,1.726934,344.4786,0
5.002298,2.102877,-5.960464E-08,3.016179,335.1867,0
5.503677,1.395244,-5.960464E-08,4.16109,328.9976,0
6.00919,0.9175538,0,5.592311,328.9976,0
6.507403,0.113224,0,6.709671,338.5846,0
7.009144,0.2432352,0,8.273297,328.6012,0
7.511159,0.8726555,0,9.59987,328.6012,0
8.011762,-0.2133558,0,10.79119,352.7034,0
8.52,-0.8925048,0,12.19487,15.25283,0
9.002083,-0.7555536,-5.960464E-08,13.74246,28.03409,0
9.505015,-0.7082727,0,15.23629,28.03409,0
10.00715,-0.7023636,-5.960464E-08,16.79011,39.92439,0
10.50856,-0.8587625,-5.960464E-08,18.39803,50.97245,0
11.00931,-1.390914,0,19.79668,50.97245,0
11.51119,-0.7223707,0,20.97219,30.69996,0
12.00974,-0.915359,-1.192093E-07,22.30734,18.88904,0
12.51132,-0.6484586,-5.960464E-08,23.7526,4.779747,0
13.0122,-0.513505,-5.960464E-08,25.1933,4.779747,0
13.51413,-0.8695263,0,26.72644,16.83013,0
14.01466,-0.4669649,0,28.15108,33.62215,0
14.51662,-0.3587546,-5.960464E-08,29.79812,49.70064,0
15.01856,-0.2659876,-5.960464E-08,31.32648,54.11704,0
15.51864,-1.094625,-5.960464E-08,32.54057,54.11704,0
16.02,-0.8830005,-1.192093E-07,32.55938,36.66981,0
16.52,-0.213417,0,33.53219,35.78969,0
17.02,0.3934975,0,33.91967,28.01106,0
17.52,0.9728605,-5.960464E-08,34.23409,28.01106,0
18.02,0.8904221,-5.960464E-08,34.26666,28.01106,0
18.50108,1.026925,-5.960464E-08,34.73145,28.92697,0
19.02,0.7500505,-1.192093E-07,34.73324,28.92697,0
19.50281,-0.01193178,-5.960464E-08,35.08931,28.92697,0
20.00424,-0.604628,0,35.81087,28.92697,0
20.50153,-0.5656189,0,35.90556,18.60245,0
21.00272,-0.9879878,-5.960464E-08,37.65911,48.67278,0
21.50742,-0.8794285,0,39.34797,69.06092,0
22.00555,-1.45064,0,39.82219,44.99788,0
22.50859,-0.1399996,0,40.6371,15.55422,0
23.01083,0.2460208,0,41.72705,345.4202,0
23.50707,1.265978,0,43.24604,315.6463,0
24.01045,1.588385,0,45.06754,285.4962,0
24.51122,1.648299,0,46.98254,257.8726,0
25.01067,0.9668919,-5.960464E-08,48.75039,231.9277,0
25.51041,0.3976781,0,50.41917,206.928,0
26.00957,0.07513306,0,50.71366,183.9928,0
26.51592,-0.2516387,-1.192093E-07,50.67014,163.0207,0
27.01322,-0.3710093,-5.960464E-08,50.61037,151.6559,0
27.51387,0.02023253,-5.960464E-08,50.98788,151.6559,0
28.01829,0.7934071,-1.192093E-07,50.52238,126.4744,0
28.51937,0.7684597,-1.192093E-07,50.47928,123.3408,0
29.02,0.5851753,-5.960464E-08,51.31315,136.1198,0
29.50751,1.732405,-5.960464E-08,52.18608,136.1198,0
30.00727,2.870269,0,51.66729,140.7368,0
30.50876,3.154017,-5.960464E-08,51.25809,149.0534,0
31.01338,4.43819,0,50.78077,149.0534,0
31.51053,5.288208,-5.960464E-08,49.56838,149.0534,0
32.01467,5.463879,0,48.01599,134.333,0
32.51698,5.823264,0,46.49426,127.2602,0
33.01871,6.976673,0,46.29507,107.13,0
33.51415,7.030111,-1.788139E-07,46.31013,107.13,0
34.01768,7.030111,-1.788139E-07,46.31013,107.13,0
34.52,7.41572,-5.960464E-08,45.77674,107.13,0
35.02,8.274421,-5.960464E-08,44.51844,103.7711,0
35.52,9.077627,0,43.15959,97.46407,0
36.02,10.22235,-5.960464E-08,42.16961,92.49812,0
36.52,11.46834,0,41.315,92.49812,0
37.02,12.82192,0,40.60417,84.11834,0
37.52,14.05462,0,39.77848,80.38377,0
38.00033,15.24692,-5.960464E-08,38.70381,68.59492,0
38.50422,16.62567,0,38.11686,57.16254,0
39.00414,17.66203,0,38.17609,37.88116,0
39.5062,18.0653,-5.960464E-08,38.4684,24.24184,0
40.00788,18.98535,-1.192093E-07,39.63553,7.705487,0
40.50902,19.25343,-1.192093E-07,39.63182,351.0547,0
41.01089,19.49037,-1.192093E-07,39.70158,335.5739,0
41.5103,19.75342,-0.0005557537,39.84301,316.5185,0
42.00841,20.01804,-0.0005557537,40.14512,289.9171,0
42.51184,19.86836,-5.960464E-08,40.56848,289.9171,0
43.01242,18.91445,-5.960464E-08,41.63876,297.5586,0
43.51717,18.12363,-5.960464E-08,42.85112,297.5586,0
44.01381,18.1693,-5.960464E-08,44.28937,297.5586,0
44.51704,17.62222,0,45.4878,297.5586,0
45.0195,16.09416,-5.960464E-08,45.8497,311.4086,0
45.52,14.88472,0,46.53381,327.6209,0
46.02,14.67903,-2.384186E-07,47.2791,323.1794,0
46.51786,14.75279,0,47.86749,291.7453,0
47.01741,13.84002,0,49.46399,261.7731,0
47.51848,12.76747,-5.960464E-08,48.77622,248.8086,0
48.02,12.48275,-5.960464E-08,48.10767,272.8961,0
48.51937,10.92725,-1.788139E-07,48.06067,250.5909,0
49.01052,10.54152,-5.960464E-08,46.53287,266.6174,0
49.51057,8.983273,5.960464E-08,45.75459,296.618,0
50.01367,7.32436,0,44.973,325.3533,0
50.51289,6.626141,-5.960464E-08,46.12789,325.3533,0
51.01602,6.351797,-0.0008302927,46.43737,343.5852,0
51.51968,7.357499,0,47.25368,343.5852,0
52.01731,8.270939,0,48.24007,343.5852,0
52.51981,9.505075,-5.960464E-08,49.11658,340.8112,0
53.02,9.972546,0,50.5508,327.9054,0
53.52,10.31236,0,51.92192,327.9054,0
54.02,10.46056,0,53.40812,327.9054,0
54.52,10.6931,-1.192093E-07,54.91358,318.5621,0
55.00045,10.73369,0,56.545,307.0291,0
55.52,9.959667,0,57.69561,336.6506,0
56.00295,9.698133,0,58.00546,2.490442,0
56.50405,10.81375,-5.960464E-08,58.72267,15.44813,0
57.00511,12.61603,-5.960464E-08,58.62447,354.3815,0
57.50884,13.55799,-5.960464E-08,59.8241,346.7774,0
58.00733,14.34855,-5.960464E-08,61.3302,325.1215,0
58.50741,13.24811,-5.960464E-08,61.52935,309.3471,0
59.01123,11.8029,0,62.19414,325.6594,0
59.51183,10.55449,-5.960464E-08,63.07166,344.0683,0
60.00948,10.29266,-5.960464E-08,64.34007,7.208538,0
60.52,10.70249,-5.960464E-08,65.10709,7.208538,0
61.02,12.38366,0,65.27147,355.3537,0
61.52,13.70287,-5.960464E-08,65.97803,349.6546,0
62.0161,15.13604,0,67.36408,318.6866,0
62.51088,15.98671,-5.960464E-08,67.81989,332.5833,0
65.50557,16.91737,-1.192093E-07,71.27333,296.619,0
66.0112,16.5871,-5.960464E-08,72.05649,296.619,0
66.50909,16.43387,-5.960464E-08,73.52995,296.619,0
67.01044,16.36592,-5.960464E-08,75.16956,284.0587,0
67.51515,15.43073,-5.960464E-08,76.27906,284.0587,0
68.01546,15.16316,0,77.14066,272.606,0
68.51762,14.53875,-5.960464E-08,78.26643,254.4255,0
69.01711,14.55266,-1.192093E-07,78.00416,271.1139,0
69.51933,13.41499,0,77.97491,283.9802,0
70.01931,12.98838,0,79.02279,313.1216,0
70.52,12.27315,-5.960464E-08,80.13461,313.1216,0
71.02,12.52316,-5.960464E-08,81.46754,324.8678,0
71.52,13.24187,-5.960464E-08,82.75007,324.8678,0
72.02,14.34363,-1.192093E-07,83.97166,314.9463,0
72.52,13.65297,0,84.77349,305.9483,0
73.02,12.94843,-5.960464E-08,86.34824,280.9981,0
73.5019,12.28409,-5.960464E-08,87.60278,280.9981,0
74.00589,11.1972,-5.960464E-08,88.49921,280.9981,0
74.50188,10.13452,-1.192093E-07,89.21181,266.8126,0
75.00013,8.878611,0,89.72292,269.6807,0
75.50385,7.398526,-1.192093E-07,89.34437,279.8263,0
76.00897,6.1926,0,90.01562,280.9439,0
76.50797,5.679454,-5.960464E-08,89.94127,297.4336,0
77.00876,5.15183,-5.960464E-08,90.7467,319.4237,0
77.50758,4.852895,-1.192093E-07,90.87254,304.4743,0
78.01154,5.023477,-1.192093E-07,91.32961,274.2379,0
78.50855,3.794055,5.960464E-08,91.64686,244.4173,0
79.00224,2.419978,0,91.14983,232.5126,0
79.52,2.071339,-1.192093E-07,91.06223,219.5342,0
80.02,2.071339,-1.192093E-07,91.06223,219.5342,0
80.50138,2.302181,-5.960464E-08,91.00867,219.5342,0
81.0011,3.235168,-5.960464E-08,90.75501,219.5342,0
81.50064,2.921413,-5.960464E-08,89.52142,219.5342,0
82.00553,2.634111,0,87.78088,247.7273,0
82.50401,2.11993,-5.960464E-08,86.46211,260.3512,0
83.00115,2.046157,-1.192093E-07,86.01897,290.1783,0
83.517,1.859773,-5.960464E-08,86.03011,293.3228,0
84.00535,0.8736569,-1.192093E-07,86.44872,319.2732,0
84.50701,0.5660886,-5.960464E-08,87.61072,319.2732,0
85.00954,0.4500924,-3.826618E-05,89.04419,326.3811,0
85.50871,0.5160595,-5.960464E-08,90.54012,326.3811,0
86.01189,0.2586673,0,91.9325,326.3811,0
86.51004,-0.2841451,-5.960464E-08,93.0337,326.3811,0
87.0132,-0.09180647,0,93.99733,326.3811,0
87.51414,-0.2132886,-5.960464E-08,95.25605,326.3811,0
88.01807,-0.01343644,-5.960464E-08,96.59583,326.3811,0
88.52,0.2032571,0,97.8166,337.1542,0
89.02,0.2366988,-5.960464E-08,99.09578,337.1542,0
89.52,0.4106029,-5.960464E-08,100.3182,337.1542,0
90.02,-0.3868945,0,101.6724,355.2732,0
90.52,-0.758098,-5.960464E-08,102.9604,355.2732,0
91.02,-0.2490611,-5.960464E-08,104.0511,12.88532,0
91.52,-0.7344037,-5.960464E-08,105.3014,24.39664,0
92.02,0.5339593,0,106.1434,5.729702,0
92.52,0.7756512,0,106.5103,5.729702,0
93.00016,1.64607,0,107.7357,5.729702,0
93.50558,2.732283,0,108.7562,5.729702,0
94.00578,3.44438,0,110.0749,5.729702,0
94.5085,3.807263,0,111.4869,5.729702,0
95.01025,4.661014,0,112.5891,21.26939,0
95.51423,5.131946,0,113.9178,21.26939,0
96.00948,6.340115,-5.960464E-08,114.7789,21.26939,0
96.51266,7.182686,0,115.7986,21.26939,0
97.01235,7.913606,-5.960464E-08,116.8963,42.01505,0
97.51662,9.390632,0,117.0645,42.01505,0
98.02,10.78846,-5.960464E-08,116.9409,42.01505,0
98.50523,11.9048,-5.960464E-08,117.5811,57.92117,0
99.00662,12.93216,-5.960464E-08,117.8086,66.26888,0
99.50768,14.32,-5.960464E-08,118.481,81.26463,0
100.011,15.64432,-5.960464E-08,118.0042,81.26463,0
100.5074,16.31929,-5.960464E-08,117.5053,98.68624,0
101.011,16.1883,0.002996206,117.4975,98.68624,0
101.5128,15.4999,-5.960464E-08,117.2567,98.68624,0
102.0159,15.20839,-5.960464E-08,116.4993,113.2257,0
102.5169,14.45488,-5.960464E-08,115.3921,113.2257,0
103.0196,13.92001,0,113.9099,105.8415,0
103.5194,13.08062,-1.192093E-07,112.6777,97.62457,0
104.02,13.51698,0,111.0497,76.46751,0
104.5172,14.65497,-1.192093E-07,110.1764,64.14762,0
105.02,15.20605,-5.960464E-08,110.3597,86.62984,0
105.52,16.24401,-5.960464E-08,109.8458,100.7427,0
106.02,16.45665,-5.960464E-08,108.222,90.69251,0
106.52,16.96622,0,106.4765,67.29807,0
107.02,17.98822,-5.960464E-08,105.7584,45.0431,0
107.52,18.55304,-5.960464E-08,105.8143,38.21187,0
108.02,19.60439,0,106.7503,38.21187,0
108.52,21.17019,0,107.383,16.20563,0
109.0036,21.14983,0,107.9519,13.80914,0
109.5028,21.62628,-5.960464E-08,109.1796,13.80914,0
110.0008,21.61501,-5.960464E-08,110.6222,13.80914,0
110.52,21.65443,-0.0008710623,111.9959,19.78068,0
111.0165,21.38715,0,113.6073,30.83541,0
111.5199,21.82419,-5.960464E-08,115.0658,48.96666,0
112.02,21.99286,0,116.4797,48.96666,0
112.52,23.24802,-9.24468E-05,117.0572,48.96666,0
113.02,24.26278,-5.960464E-08,117.8916,48.96666,0
113.52,25.58365,0,117.9557,67.96349,0
114.0001,26.9113,-5.960464E-08,118.2367,67.96349,0
114.5196,28.06164,-0.0001078248,117.5175,76.80651,0
115.0141,28.40164,-5.960464E-08,117.5022,82.5898,0
115.5157,29.6594,-5.960464E-08,116.6163,72.99355,0
116.0195,29.89942,-1.788139E-07,117.4363,60.48189,0
116.52,31.09948,0,117.984,68.57019,0
117.02,32.41857,-5.960464E-08,118.4891,95.1924,0
117.52,33.71804,-5.960464E-08,118.3998,95.1924,0
118.02,35.10223,-5.960464E-08,118.2165,95.1924,0
118.52,36.51524,-1.192093E-07,117.5546,80.74961,0
119.0003,37.59543,0,116.4672,68.0587,0
119.52,39.16076,-0.0002257824,116.1118,52.10167,0
120.02,40.45539,-1.192093E-07,115.6348,52.10167,0
120.5057,41.24326,-5.960464E-08,116.9163,52.10167,0
121.0021,42.45441,-5.960464E-08,117.7227,61.99715,0
121.5059,42.80637,-1.192093E-07,117.9521,61.99715,0
122.0041,43.90949,-5.960464E-08,118.5211,77.57302,0
122.5077,45.36207,-5.960464E-08,118.1127,77.57302,0
123.0063,46.82535,0,117.8552,77.57302,0
123.5058,47.92923,-5.960464E-08,116.8658,77.57302,0
124.0108,49.41227,-5.960464E-08,116.3117,68.37216,0
124.506,50.84342,-5.960464E-08,116.3472,79.79034,0
125.02,52.10602,-5.960464E-08,116.9969,100.8599,0
142.5012,57.94355,-1.192093E-07,117.9249,80.48832,0
143.02,58.76229,-1.192093E-07,117.8221,80.48832,0
143.52,60.24269,0,117.6417,85.84259,0
144.0009,61.20182,-5.960464E-08,116.933,78.57645,0
144.52,62.28951,-5.960464E-08,115.8521,70.31363,0
145.0026,63.70698,0,116.3462,70.31363,0
145.5067,65.19376,-0.0001949668,116.192,70.31363,0
146.0063,66.61358,0,115.7489,70.31363,0
146.5072,68.10729,0,115.5849,70.31363,0
147.0124,69.55221,0,115.4355,82.02966,0
147.5114,70.92681,-5.960464E-08,114.8494,82.02966,0
148.0101,71.98808,-5.960464E-08,114.165,82.02966,0
148.5116,73.47488,-5.960464E-08,113.7934,63.5112,0
149.0126,74.91236,-5.960464E-08,114.2654,52.84839,0
149.5149,76.11089,-5.960464E-08,114.2377,80.59997,0
150.0157,76.55508,-5.960464E-08,113.2592,107.3456,0
150.5175,76.28587,-5.960464E-08,112.8036,107.3456,0
151.0186,75.53841,-5.960464E-08,111.7337,107.3456,0
151.5186,74.97508,0,110.1283,92.87877,0
152.02,74.82391,0,108.5969,85.06774,0
152.52,75.23019,0,107.0676,80.22512,0
153.02,76.09645,0,105.6939,65.88139,0
153.5188,77.22146,0,105.3229,34.43999,0
154.02,78.96229,-5.960464E-08,105.3674,9.286894,0
154.52,80.25933,-5.960464E-08,105.8612,359.0377,0
155.0102,79.53988,-5.960464E-08,106.5609,347.5662,0
155.5098,77.99122,0,107.2461,3.336264,0
156.0103,77.66876,-5.960464E-08,108.5094,28.05636,0
156.5116,78.43324,-5.960464E-08,109.0646,37.36397,0
157.0109,79.14388,-1.192093E-07,110.2644,7.58577,0
157.5135,79.82883,-5.960464E-08,111.6933,350.817,0
158.0162,79.20448,0,113.2349,18.67846,0
158.52,79.15456,0,114.7986,38.86732,0
159.02,79.876,0,116.3446,69.03938,0
159.52,80.97665,0,117.3613,80.08844,0
160.02,82.35263,0,117.8189,67.75758,0
160.52,83.78265,-5.960464E-08,117.4593,67.75758,0
161.02,85.21913,5.960464E-08,117.7448,67.75758,0
161.52,86.67082,0,117.9271,75.52028,0
162.02,88.16404,-5.960464E-08,118.0656,75.52028,0
162.5036,89.63313,-5.960464E-08,118.0176,85.07462,0
163.0054,90.54245,-5.960464E-08,116.9938,96.89928,0
163.5038,90.85608,-1.192093E-07,116.3422,99.94371,0
164.003,91.15142,0,115.9811,69.98973,0
164.5056,92.58073,0,116.313,65.53177,0
165.0031,93.51792,-1.192093E-07,117.8064,93.00207,0
165.5029,94.96933,-5.960464E-08,117.5623,82.48988,0
166.0193,96.51575,-0.0003896952,117.4847,82.48988,0
166.52,97.72775,-5.960464E-08,118.1498,82.48988,0
167.0094,99.10378,-5.960464E-08,118.6346,82.48988,0
167.52,100.497,-5.960464E-08,118.2562,82.48988,0
168.02,101.9881,0,118.055,82.48988,0
168.52,103.4849,-5.960464E-08,117.9505,82.48988,0
169.02,104.9855,0,117.9175,82.48988,0
169.5009,106.4532,-5.960464E-08,118.0732,82.48988,0
170.02,107.9463,0,117.9647,82.48988,0
170.52,109.4519,-5.960464E-08,117.9041,76.3969,0
171.016,110.925,-5.960464E-08,117.5364,76.3969,0
171.5182,112.3856,-5.960464E-08,117.8256,76.3969,0
172.02,113.7915,-5.960464E-08,117.7581,76.3969,0
172.52,115.3015,-5.960464E-08,117.7434,76.3969,0
173.0186,116.8579,-5.960464E-08,117.8237,76.3969,0
173.52,117.049,-1.192093E-07,118.0675,92.59547,0
