Time, X, Y, Z, Rotation, isSick
4,9.92779,0.448,3.568376,0,0
4.5,9.92779,0.448,3.568376,0,0
5,10.14682,0.2884769,3.958392,0,0
5.5,10.68998,0.4560936,4.830907,0,0
6,11.27118,0.5566998,5.128081,12.5651,0
6.5,12.52393,0.7379891,5.290841,31.24062,0
7,12.62511,0.7600061,5.331777,31.24062,0
7.5,13.16965,0.9651108,5.867217,31.24062,0
8,13.84101,1.34327,7.03351,20.77412,0
8.5,14.33296,1.686351,8.112387,6.098481,0
9,14.96296,2.079135,9.323847,2.846475,0
9.5,14.59758,2.400598,10.72312,354.5643,0
10,15.41189,2.743392,11.8874,5.734421,0
10.5,16.28592,2.972009,13.02128,13.51586,0
11,17.7362,3.058842,13.49782,29.06812,0
11.5,19.08848,3.224239,13.9843,35.25298,0
12,20.30052,3.533344,14.7934,35.25298,0
12.5,21.59087,3.934431,15.54015,35.25298,0
13,22.6617,4.513022,16.45604,31.91554,0
13.5,23.04661,4.825112,17.26863,22.71698,0
14,23.93286,5.050375,17.4835,22.71698,0
14.5,24.91916,5.276834,17.97512,22.71698,0
15,24.85712,5.259615,17.92986,22.71698,0
15.5,24.85712,5.259615,17.92986,22.71698,0
16,24.85712,5.259615,17.92986,22.71698,0
16.5,24.85712,5.259615,17.92986,22.71698,0
17,24.85712,5.259615,17.92986,22.71698,0
17.5,24.85712,5.259615,17.92986,22.71698,0
18,24.85712,5.259615,17.92986,22.71698,0
18.5,24.85712,5.259615,17.92986,22.71698,0
19,24.85712,5.259615,17.92986,22.71698,0
19.5,24.88616,5.276575,18.35177,22.71698,0
20,25.12559,5.241549,17.43751,37.46562,0
20.5,25.50711,5.316578,17.73828,25.7671,0
21,25.74069,5.321405,17.75418,16.39953,0
21.5,25.66575,5.326271,17.79655,5.196377,0
22,25.39048,5.317828,17.54902,345.3367,0
22.5,24.98724,5.31499,17.51202,338.203,0
23,24.98724,5.31499,17.51202,338.203,0
23.5,24.98724,5.31499,17.51202,338.203,0
24,24.98724,5.31499,17.51202,338.203,0
24.5,24.98724,5.31499,17.51202,338.203,0
25,24.98724,5.31499,17.51202,338.203,0
25.5,24.98724,5.31499,17.51202,338.203,0
26,24.98724,5.31499,17.51202,338.203,0
26.5,24.98724,5.31499,17.51202,338.203,0
27,24.98724,5.31499,17.51202,338.203,0
27.5,24.98724,5.31499,17.51202,338.203,0
28,24.98724,5.31499,17.51202,338.203,0
28.5,24.98724,5.31499,17.51202,338.203,0
29,24.98724,5.31499,17.51202,338.203,0
29.5,24.98724,5.31499,17.51202,338.203,0
30,24.98724,5.31499,17.51202,338.203,0
30.5,24.98724,5.31499,17.51202,338.203,0
31,24.98724,5.31499,17.51202,338.203,0
31.5,24.98724,5.31499,17.51202,338.203,0
32,25.10474,5.290726,17.05217,348.3413,0
32.5,25.55255,5.307084,17.35123,353.3477,0
33,25.52045,5.323949,17.70889,353.3477,0
33.5,25.52045,5.323949,17.70889,353.3477,0
34,25.52045,5.323949,17.70889,353.3477,0
34.5,25.52045,5.323949,17.70889,353.3477,0
35,25.52045,5.323949,17.70889,353.3477,0
35.5,25.52045,5.323949,17.70889,353.3477,0
36,25.52045,5.323949,17.70889,353.3477,0
36.5,25.52045,5.323949,17.70889,353.3477,0
37,25.52045,5.323949,17.70889,353.3477,0
37.5,25.52045,5.323949,17.70889,353.3477,0
38,25.52045,5.323949,17.70889,353.3477,0
38.5,25.52045,5.323949,17.70889,353.3477,0
39,25.82284,5.336265,17.96668,353.3477,0
39.5,25.82284,5.336265,17.96668,353.3477,0
40,25.82284,5.336265,17.96668,353.3477,0
40.5,25.82284,5.336265,17.96668,353.3477,0
41,25.82284,5.336265,17.96668,353.3477,0
41.5,25.82284,5.336265,17.96668,353.3477,0
42,25.82284,5.336265,17.96668,353.3477,0
42.5,25.82284,5.336265,17.96668,353.3477,0
43,25.82284,5.336265,17.96668,353.3477,0
43.5,25.82284,5.336265,17.96668,353.3477,0
44,25.82284,5.336265,17.96668,353.3477,0
44.5,25.82284,5.336265,17.96668,353.3477,0
45,25.82284,5.336265,17.96668,353.3477,0
45.5,25.82284,5.336265,17.96668,353.3477,0
46,25.82284,5.336265,17.96668,353.3477,0
