Time, X, Y, Z, Rotation, isSick
11.5171,0.1247637,-1.192093E-07,8.133183,313.8106,0
12.00589,0.5336391,-5.960464E-08,8.563696,313.8106,0
12.50917,1.32124,-1.192093E-07,8.382034,340.9339,0
13.02,2.238771,-1.192093E-07,7.817799,10.00763,0
13.51085,3.266508,0,6.635614,16.64995,0
14.01321,4.267069,0,5.517326,29.74465,0
14.50235,4.316219,0,4.649727,0.3966832,0
15.01635,3.408174,0,5.049183,337.6621,0
15.51636,4.373155,0,6.102432,326.0138,0
16.0146,5.881181,0,6.081308,332.1117,0
16.52,6.53254,-1.192093E-07,6.112065,332.1117,0
17.02,7.71466,-1.192093E-07,6.211965,303.757,0
17.52,8.897988,-5.960464E-08,6.012973,273.6512,0
18.02,9.016118,-5.960464E-08,7.208498,248.6524,0
18.5014,9.594503,0,8.663062,272.2205,0
19.02,9.834656,-5.960464E-08,9.990141,302.0563,0
19.51513,10.15028,-5.960464E-08,11.24509,333.0421,0
20.01406,11.2808,-5.960464E-08,11.90821,2.97617,0
20.50401,12.29726,0,12.37322,32.37164,0
21.01596,13.63094,0,12.16014,57.06939,0
21.50221,14.97676,0,12.03213,68.49601,0
22.01393,16.65593,0,11.92163,50.73325,0
22.52,16.47379,0,10.85235,21.79516,0
23.00926,17.07201,-5.960464E-08,9.702527,351.0142,0
23.50154,17.98193,0,10.25171,321.4772,0
24.02,17.822,-5.960464E-08,11.93561,291.8521,0
24.50628,18.04419,-1.192093E-07,13.30891,261.1942,0
25.02,17.67023,-5.960464E-08,14.70742,231.7975,0
25.52,18.18087,0,15.52738,201.7687,0
26.0111,17.85752,0,16.53778,170.9057,0
26.51954,17.84844,-5.960464E-08,17.76274,140.3999,0
27.01409,17.46528,0,19.12516,133.9661,0
27.50364,16.87169,-1.788139E-07,20.03614,163.3374,0
28.01725,16.44908,0,20.4577,153.5647,0
28.51263,15.62456,0,20.37642,164.9529,0
29.02,15.90254,-1.192093E-07,21.89188,180.0579,0
29.50696,15.8743,-0.0003527403,23.01256,149.5831,0
30.02,14.67587,-5.960464E-08,23.1032,127.187,0
30.50813,13.12016,-5.960464E-08,23.96143,157.9826,0
31.02,12.39352,0,24.52855,147.2059,0
31.50172,11.5078,0,25.24346,116.8667,0
32.0112,10.47826,-5.960464E-08,25.91608,86.29889,0
32.50062,9.362751,-5.960464E-08,26.16942,74.07369,0
33.0168,8.014783,0,26.10834,91.98276,0
33.50206,6.919468,0,26.03787,62.86718,0
34.00216,6.816506,0,24.68299,46.97364,0
34.51488,6.379678,0,23.08705,72.92005,0
35.02,5.504649,0,21.81449,101.9686,0
35.52,5.000035,-1.192093E-07,21.18503,131.6463,0
36.02,3.913424,0,21.99263,161.8686,0
36.52,2.964419,0,23.46244,191.8728,0
37.02,2.847102,-5.960464E-08,25.03411,221.8869,0
37.52,3.14873,-5.960464E-08,26.61974,252.0155,0
38.02,4.067774,0,27.89247,281.9921,0
38.5035,5.547966,-1.132488E-06,28.50418,296.2867,0
39.00435,6.782053,0,28.48443,266.2367,0
39.50285,7.680644,0,29.19131,236.3271,0
40.00138,6.293351,-1.192093E-07,29.11151,206.4156,0
40.51737,6.070837,0,28.87323,177.5623,0
41.00306,7.541997,-1.192093E-07,28.78379,199.0151,0
41.5126,6.845568,0,29.74111,178.1381,0
42.01786,5.363114,0,29.4577,173.9915,0
42.52,3.961438,0,29.75663,190.4235,0
43.01204,2.512542,0,30.10394,205.0428,0
43.5001,1.707538,-5.960464E-08,31.26174,234.3251,0
44.00012,2.849032,-5.960464E-08,32.29858,264.3245,0
44.5015,3.746128,-1.788139E-07,33.578,287.872,0
45.0046,4.587327,0,34.64736,257.6864,0
45.50302,5.503814,0,35.47259,227.782,0
