Time, X, Y, Z, Rotation, isSick
15,9.92779,0.448,3.568376,0,0
15.5,9.92779,0.448,3.568376,0,0
16,10.44063,0.2854837,4.048833,0,0
16.5,10.76373,0.4600096,4.698448,0,0
17,10.86795,0.5029278,4.863883,0,0
17.5,11.65242,0.8646326,6.144262,0,0
18,12.5759,1.137119,6.630474,10.09054,0
18.5,12.93894,1.311375,7.120159,10.09054,0
19,13.24769,1.45466,7.506001,10.09054,0
19.5,13.24769,1.45466,7.506001,10.09054,0
20,14.17514,1.61155,7.670502,10.09054,0
20.5,14.28866,1.61365,7.609717,10.09054,0
21,15.33989,1.59275,7.148242,10.09054,0
21.5,16.02202,1.842719,7.991219,10.09054,0
22,17.18447,1.938604,8.65954,10.09054,0
22.5,18.52084,2.184325,9.498611,10.09054,0
23,19.12127,2.569619,10.67721,10.09054,0
23.5,19.44388,2.78257,11.3414,10.09054,0
24,19.60003,2.970612,12.08665,10.09054,0
24.5,19.71191,3.279084,13.65846,10.09054,0
25,20.36908,3.618257,15.01136,10.09054,0
25.5,21.10881,3.958649,16.22729,10.09054,0
26,22.00674,4.401026,17.41763,10.09054,0
26.5,23.07664,4.920065,18.47175,10.09054,0
27,23.87992,5.222684,19.38167,10.09054,0
27.5,25.08837,5.316046,20.81991,10.09054,0
28,25.90646,5.347005,21.88256,10.09054,0
28.5,26.80571,5.347005,23.18398,10.09054,0
29,27.66424,5.347006,24.48306,10.09054,0
29.5,28.44048,5.347005,25.66047,10.09054,0
30,29.27948,5.347006,26.86167,10.09054,0
30.5,30.33485,5.347006,28.09611,10.09054,0
31,30.41883,5.347006,29.49046,10.09054,0
31.5,30.63834,5.347006,30.83232,10.09054,0
32,31.42584,5.347005,32.20165,10.09054,0
32.5,32.18606,5.347006,33.50281,10.09054,0
33,32.93752,5.347006,34.80217,10.09054,0
33.5,33.62363,5.347005,35.9978,10.09054,0
34,34.3249,5.347005,37.35193,10.09054,0
34.5,34.97535,5.347006,38.68571,10.09054,0
35,35.66713,5.347006,40.01693,10.09054,0
35.5,36.36871,5.347005,41.39043,10.09054,0
36,36.99693,5.347005,42.6683,10.09054,0
36.5,37.67842,5.347006,44.00167,10.09054,0
37,38.40117,5.347006,45.42157,10.09054,0
37.5,39.09385,5.347006,46.7975,10.09054,0
38,39.74203,5.342409,48.0651,10.09054,0
38.5,40.28367,5.349729,49.4937,10.09054,0
39,40.41658,5.365088,50.38219,10.09054,0
39.5,40.48062,5.36535,50.42775,10.09054,0
40,40.55223,5.363904,50.37233,10.09054,0
40.5,41.06459,5.427692,51.69521,10.09054,0
41,41.40527,5.479582,52.53696,10.09054,0
41.5,41.992,5.583926,53.58622,10.09054,0
42,41.992,5.583926,53.58622,10.09054,0
42.5,41.992,5.583926,53.58622,10.09054,0
43,41.992,5.583926,53.58622,10.09054,0
43.5,41.84805,5.7507,54.84853,10.09054,0
44,42.15757,5.972438,56.2014,10.09054,0
44.5,42.80346,6.205957,57.55742,10.09054,0
45,43.43031,6.421916,58.92733,10.09054,0
45.5,44.05075,6.584438,60.32084,10.09054,0
46,44.66467,6.736695,61.71722,10.09054,0
46.5,45.25505,6.832727,63.05115,10.09054,0
47,45.89928,6.885031,64.45657,10.09054,0
47.5,46.53179,6.949659,65.82336,10.09054,0
48,47.24216,6.983797,67.14672,10.09054,0
48.5,47.95787,6.998539,68.46737,10.09054,0
49,48.64038,7.033645,69.71683,10.09054,0
49.5,49.36357,7.031068,71.03298,10.09054,0
50,50.09016,6.984547,72.34923,10.09054,0
50.5,50.79178,6.934823,73.7235,10.09054,0
51,51.11341,6.929702,75.1901,10.09054,0
51.5,51.65298,6.917305,76.59177,10.09054,0
52,52.07935,6.884389,77.98421,10.09054,0
52.5,52.1561,6.773102,79.51718,10.09054,0
53,51.92141,6.684462,80.90387,10.09054,0
53.5,52.27634,6.515968,82.40691,10.09054,0
54,53.19828,6.274406,83.53481,10.09054,0
54.5,53.98239,6.024383,84.76099,10.09054,0
55,54.50824,5.942938,86.07951,10.09054,0
55.5,54.97847,6.088163,87.51304,10.09054,0
56,55.40959,6.259527,88.95129,10.09054,0
56.5,55.82136,6.368315,90.39459,10.09054,0
57,56.14093,6.411117,91.86301,10.09054,0
57.5,56.49219,6.307807,93.27943,10.09054,0
58,57.02351,6.134931,94.77226,10.09054,0
58.5,57.52481,5.845295,96.18929,10.09054,0
59,57.91759,5.537962,97.55112,10.09054,0
59.5,57.7094,5.27805,99.02662,10.09054,0
60,57.95024,4.864411,100.5072,10.09054,0
60.5,58.34111,4.324541,102.0415,10.09054,0
61,58.73092,3.577131,103.4956,10.09054,0
61.5,59.18365,2.889671,104.8424,10.09054,0
62,59.68185,2.21141,106.2629,10.09054,0
62.5,60.2017,1.359807,107.7179,10.09054,0
63,60.72254,0.861184,109.1284,10.09054,0
63.5,61.24354,0.5134373,110.5415,10.09054,0
64,61.75042,0.2516335,111.9556,10.09054,0
64.5,62.25002,0.09347934,113.3861,10.09054,0
65,62.70309,0.01878911,114.7292,10.09054,0
65.5,63.20433,-2.980232E-08,116.1794,10.09054,0
66,63.68656,-2.980232E-08,117.6043,10.09054,0
66.5,64.13676,-2.980232E-08,119.0837,10.09054,0
67,64.54443,-2.980232E-08,120.4862,10.09054,0
67.5,64.61189,-2.980232E-08,121.9665,10.09054,0
68,64.3923,0.01176584,123.4423,10.09054,0
68.5,64.49268,0.05034035,124.8772,10.09054,0
69,64.7401,0.1565649,126.3805,10.09054,0
69.5,65.0248,0.3467237,127.8575,10.09054,0
70,65.31721,0.6330105,129.3344,10.09054,0
70.5,65.61338,1.01935,130.8083,10.09054,0
71,65.92702,1.631705,132.2805,10.09054,0
71.5,66.21726,2.352653,133.7557,10.09054,0
72,66.42272,3.169235,135.2441,10.09054,0
72.5,66.51193,4.069537,136.7464,10.09054,0
73,66.98856,5.176923,138.1645,10.09054,0
73.5,67.52625,6.371405,139.5237,10.09054,0
74,68.0811,7.712418,140.9679,10.09054,0
74.5,68.48428,8.931096,142.1657,10.09054,0
78,68.33794,9.168965,142.5482,10.09054,0
78.5,68.33794,9.168965,142.5482,10.09054,0
79,68.51225,9.165746,142.4566,10.09054,0
79.5,68.28172,9.165746,142.5738,10.09054,0
80,67.91869,9.147214,142.7033,10.09054,0
80.5,67.91869,9.147214,142.7033,10.09054,0
81,67.51372,9.128079,142.961,10.09054,0
81.5,66.2877,9.128079,143.6506,10.09054,0
82,65.32668,9.184339,144.2109,10.09054,0
82.5,64.40157,9.184339,144.7458,10.09054,0
83,64.25609,9.184339,144.8193,10.09054,0
83.5,64.25609,9.184339,144.8193,10.09054,0
84,64.69859,9.071362,144.373,12.68904,0
84.5,65.09183,8.361459,142.8454,42.70054,0
85,64.5612,7.049487,141.4641,71.06744,0
85.5,63.56285,5.867949,140.7471,94.20461,0
86,64.36614,5.844129,140.3106,94.20461,0
86.5,65.71047,5.918512,139.636,94.20461,0
87,67.09149,6.050641,139.0373,94.20461,0
87.5,67.31895,6.063651,138.934,94.20461,0
88,65.93987,5.473608,138.7667,119.9442,0
88.5,64.45159,5.246662,139.3839,150.739,0
89,63.75222,5.739245,140.5451,176.5199,0
89.5,63.2688,5.380937,139.8227,176.5199,0
90,62.38071,4.235178,138.6092,176.5199,0
90.5,61.46698,3.150418,137.4139,176.5199,0
91,60.44637,2.145409,136.3126,176.5199,0
91.5,59.34426,1.362691,135.2906,176.5199,0
92,58.2123,0.7314818,134.302,176.5199,0
92.5,56.8627,0.4843953,133.944,185.9139,0
93,55.61677,0.2130034,133.1058,185.9139,0
93.5,54.51624,0.05539107,132.0824,185.9139,0
94,53.4999,0.009827673,131.0855,185.9139,0
94.5,52.4078,-5.960464E-08,129.9986,185.9139,0
95,51.37465,-5.960464E-08,128.9645,185.9139,0
95.5,50.80299,0,128.476,185.9139,0
