Time, X, Y, Z, Rotation, isSick
2.5,9.92779,0.448,3.568376,0,0
3,10.56646,0.2865371,3.964671,0,0
3.5,11.9293,0.4423525,4.258306,0,0
4,13.39595,0.5534553,4.089601,0,0
4.5,14.72702,0.7921444,4.741103,0,0
5,15.80378,1.020404,5.787202,0,0
5.5,16.3695,1.325139,7.183538,0,0
6,17.53356,1.487842,8.015181,0,0
6.5,18.44583,1.889997,9.243953,0,0
7,19.71778,2.156751,9.726475,0,0
7.5,20.9492,2.619588,10.52316,0,0
8,22.31503,3.135298,10.93418,0,0
8.5,23.6522,3.76987,11.58263,0,0
9,24.18659,4.390267,12.99909,0,0
9.5,25.15506,5.041525,14.15224,0,0
10,26.16977,5.250023,15.25706,0,0
10.5,27.49242,5.347006,15.94898,0,0
11,28.3543,5.347005,17.07768,0,0
11.5,29.22543,5.347006,18.27099,0,0
12,30.64961,5.347006,18.05206,0,0
12.5,31.83941,5.347006,17.13269,0,0
13,33.0263,5.347006,16.35785,0,0
13.5,34.42662,5.347006,16.22303,0,0
14,35.87716,5.347006,16.00309,0,0
14.5,36.52242,5.347006,16.52838,0,0
15,36.52242,5.347006,16.52838,0,0
15.5,36.52242,5.347006,16.52838,0,0
16,36.52242,5.347006,16.52838,0,0
16.5,36.52242,5.347006,16.52838,0,0
17,36.52242,5.347006,16.52838,0,0
17.5,36.52242,5.347006,16.52838,0,0
18,36.52242,5.347006,16.52838,0,0
18.5,36.52242,5.347006,16.52838,0,0
19,36.37928,5.347006,16.6165,0,0
19.5,36.37928,5.347006,16.6165,0,0
20,36.37928,5.347006,16.6165,0,0
20.5,36.37928,5.347006,16.6165,0,0
21,36.37928,5.347006,16.6165,0,0
21.5,36.37928,5.347006,16.6165,0,0
22,36.37928,5.347006,16.6165,0,0
22.5,36.37928,5.347006,16.6165,0,0
23,36.37928,5.347006,16.6165,0,0
23.5,36.37928,5.347006,16.6165,0,0
24,36.52703,5.347005,16.34695,6.90348,0
24.5,37.83025,5.347006,16.07746,14.37749,0
25,37.85368,5.347006,17.19149,4.436129,0
25.5,37.6755,5.347005,17.2863,354.3088,0
26,37.6755,5.347005,17.2863,354.3088,0
26.5,37.6755,5.347005,17.2863,354.3088,0
27,38.36322,5.347006,17.18024,354.3088,0
27.5,39.77649,5.347006,17.57961,354.3088,0
28,40.89629,5.347006,18.55879,354.3088,0
28.5,41.94328,5.347006,19.64359,354.3088,0
29,42.87231,5.347006,20.65168,354.3088,0
29.5,42.87231,5.347006,20.65168,354.3088,0
30,42.87231,5.347006,20.65168,354.3088,0
30.5,42.87231,5.347006,20.65168,354.3088,0
31,42.87231,5.347006,20.65168,354.3088,0
31.5,42.87231,5.347006,20.65168,354.3088,0
32,42.87231,5.347006,20.65168,354.3088,0
32.5,42.87231,5.347006,20.65168,354.3088,0
33,43.80999,5.347005,20.85636,354.3088,0
33.5,45.30639,5.347006,20.81547,354.3088,0
34,46.63798,5.343734,20.14271,354.3088,0
34.5,48.03518,5.331095,19.61707,354.3088,0
35,49.4148,5.275179,19.75595,354.3088,0
35.5,50.85487,5.183083,19.98563,354.3088,0
36,52.17981,5.063164,19.28568,354.3088,0
36.5,53.48228,4.895903,18.55762,354.3088,0
37,54.73634,4.72421,17.87118,354.3088,0
37.5,56.15453,4.494859,17.57707,354.3088,0
38,57.36121,4.236296,17.74385,354.3088,0
38.5,58.56014,4.047317,16.83585,354.3088,0
39,59.33701,3.889977,16.88835,354.3088,0
39.5,60.83731,3.577866,16.88898,354.3088,0
40,62.23486,3.272999,16.63483,354.3088,0
40.5,63.73094,3.019941,16.78366,354.3088,0
41,65.07485,2.882444,17.30235,354.3088,0
41.5,66.31612,2.827174,18.212,354.3088,0
42,67.76627,2.764848,18.26487,354.3088,0
42.5,69.26895,2.749193,18.28993,354.3088,0
43,70.73342,2.763868,18.29737,354.3088,0
43.5,72.0211,2.797305,18.23518,354.3088,0
44,72.0211,2.797305,18.23518,354.3088,0
44.5,72.58791,2.854983,18.34726,354.3088,0
45,72.58791,2.854983,18.34726,354.3088,0
45.5,72.58791,2.854983,18.34726,354.3088,0
46,72.58791,2.854983,18.34726,354.3088,0
46.5,72.58791,2.854983,18.34726,354.3088,0
47,72.58791,2.854983,18.34726,354.3088,0
47.5,72.58791,2.854983,18.34726,354.3088,0
48,72.58791,2.854983,18.34726,354.3088,0
48.5,72.82331,2.818989,17.94795,354.3088,0
49,74.11465,2.958175,18.25905,354.3088,0
49.5,74.40009,2.976097,18.30873,354.3088,0
50,74.40009,2.976097,18.30873,354.3088,0
50.5,74.40009,2.976097,18.30873,354.3088,0
51,74.40009,2.976097,18.30873,354.3088,0
51.5,74.40009,2.976097,18.30873,354.3088,0
52,74.52778,2.980443,18.32292,351.2117,0
52.5,74.51045,3.038974,19.02664,324.1588,0
53,74.51578,3.040059,19.03341,324.1588,0
53.5,74.51578,3.040059,19.03341,324.1588,0
54,74.51578,3.040059,19.03341,324.1588,0
54.5,75.55206,3.100149,19.41251,325.1269,0
55,76.87415,3.138132,19.98553,325.1269,0
55.5,76.87415,3.138132,19.98553,325.1269,0
56,77.33334,3.139469,20.40559,325.1269,0
56.5,78.08628,3.145538,21.64188,325.1269,0
57,78.13931,3.165345,23.10419,325.1269,0
57.5,78.04304,3.205492,24.60548,325.1269,0
58,78.3707,3.266199,26.07157,325.1269,0
58.5,78.61739,3.350285,27.58868,325.1269,0
59,78.25413,3.347184,28.99554,325.1269,0
59.5,78.67016,3.399837,30.325,325.1269,0
60,78.92404,3.432313,31.61885,325.1269,0
60.5,79.22931,3.446714,33.06382,325.1269,0
61,80.36777,3.512314,33.99015,325.1269,0
61.5,81.00445,3.519553,35.08823,325.1269,0
62,80.80087,3.456818,36.53763,325.1269,0
72.5,80.11262,3.384326,39.74189,325.1269,1
73,80.30412,3.396791,40.04953,325.1269,1
73.5,80.28388,3.418215,41.55783,325.1269,1
74,80.65102,3.458896,42.98645,325.1269,1
74.5,81.93443,3.473145,43.44399,325.1269,1
75,83.15892,3.432069,44.21969,325.1269,1
75.5,83.95948,3.320606,45.49099,325.1269,1
76,84.89381,3.171434,46.599,325.1269,1
76.5,86.13236,3.01924,47.42985,325.1269,1
77,87.14033,2.80297,48.48596,325.1269,1
77.5,88.22115,2.582376,49.47876,325.1269,1
78,88.56635,2.356071,50.855,325.1269,1
78.5,87.57649,2.25889,51.94793,325.1269,1
79,86.45127,2.193668,52.9433,325.1269,1
79.5,85.23892,2.161702,53.81885,325.1269,1
80,83.89712,2.20306,54.49645,325.1269,1
80.5,82.49144,2.280864,55.02592,325.1269,1
81,81.11415,2.345561,55.62471,325.1269,1
81.5,79.89943,2.388352,56.50898,325.1269,1
82,79.06608,2.33247,57.67924,325.1269,1
82.5,78.1111,2.312356,58.76876,325.1269,1
83,76.96124,2.356956,59.73421,325.1269,1
